airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
RID,"39-45-21.9000N 084-50-33.7000W
39-45.365000N 084-50.561667W
39.7560833,-84.8426944
(estimated)",1139.8 ft. / 347.4 m (surveyed),03W (1985),"5 miles SE of RICHMOND, IN",UTC -5 (UTC -4 during Daylight Saving Time),47374,Open to the public,12/1944,no,INDIANAPOLIS CENTER,TERRE HAUTE FLIGHT SERVICE STATION,0800-1745,100LL JET-A,,5502 x 150 ft. / 1677 x 46 m,4999 x 100 ft. / 1524 x 30 m,Runway 6/24
RIF,"38-44-02.8000N 112-06-05.7000W
38-44.046667N 112-06.095000W
38.7341111,-112.1015833
(estimated)",5318 ft. / 1620.9 m (surveyed),13E (2000),"1 mile SW of RICHFIELD, UT",UTC -7 (UTC -6 during Daylight Saving Time),84701,Open to the public,03/1940,no,SALT LAKE CITY CENTER,CEDAR CITY FLIGHT SERVICE STATION,0800-1700,7100 x 100 ft. / 2164 x 30 m,tiedowns,Publicly-owned,  ,Runway 1/19
RIL,"39-31-35.7840N 107-43-40.7530W
39-31.596400N 107-43.679217W
39.5266067,-107.7279869
(estimated)",5536.8 ft. / 1687.6 m (surveyed),10E (2010),"3 miles E of RIFLE, CO",UTC -7 (UTC -6 during Daylight Saving Time),81650,Open to the public,07/1940,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,CONTINUOUS,7000 x 100 ft. / 2134 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 8/26
RIV,"33-52-54.9960N 117-15-32.4610W
33-52.916600N 117-15.541017W
33.8819433,-117.2590169
(estimated)",1536 ft. / 468 m (estimated),14E (1980),"6 miles SE of RIVERSIDE, CA",UTC -8 (UTC -7 during Daylight Saving Time),92518,Open to the public,05/1941,yes,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,"0700-2300
OPR H24; OPS FM 0700-1500Z++ RQR 452 OG/CC APVL, EXC FOR KRIV BASED ALERT MSN.","100LL JET-A JET-A++
100LL:FULL SVC AVBL AT FBO; SELF-SERVE UNAVBL.",,13302 x 200 ft. / 4054 x 61 m,3061 x 100 ft. / 933 x 30 m,Runway 14/32
RJAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RKD,"44-03-36.5120N 069-05-58.8110W
44-03.608533N 069-05.980183W
44.0601422,-69.0996697
(estimated)",55.4 ft. / 16.9 m (surveyed),18W (2000),"3 miles S of ROCKLAND, ME",UTC -5 (UTC -4 during Daylight Saving Time),04854,Open to the public,02/1943,no,BOSTON CENTER,BANGOR FLIGHT SERVICE STATION,"MON-FRI 0600-1700
ARPT MAY BE UNATNDD FM 2200-0600.",100LL JET-A,,5412 x 100 ft. / 1650 x 30 m,4000 x 100 ft. / 1219 x 30 m,Runway 13/31
RKS,"41-35-39.2000N 109-03-54.7000W
41-35.653333N 109-03.911667W
41.5942222,-109.0651944
(estimated)",6764.6 ft. / 2061.9 m (surveyed),13E (1995),"7 miles E of ROCK SPRINGS, WY",UTC -7 (UTC -6 during Daylight Saving Time),82901,Open to the public,07/1942,no,SALT LAKE CITY CENTER,CASPER FLIGHT SERVICE STATION,0400-2200,10000 x 150 ft. / 3048 x 46 m,hangars and tiedowns,5228 x 75 ft. / 1593 x 23 m,Publicly-owned,Runway 9/27
RMN,"38-23-53.2000N 077-27-19.7000W
38-23.886667N 077-27.328333W
38.3981111,-77.4554722
(estimated)",211.2 ft. / 64.4 m (surveyed),10W (2000),"3 miles SW of STAFFORD, VA",UTC -5 (UTC -4 during Daylight Saving Time),22406,Open to the public,10/2001,no,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,"0800-1800
UNATNDD THANKSGIVING, CHRISTMAS, & NEW YEARS DAYS.","100LL JET-A
100LL:FUEL AVBL UNTIL 1800; AFTER HRS CALL 540-288-3838 WITHIN 12 HRS NOTICE. PRIST AVBL.
A:GOVT CONTR FUEL.",,5000 x 100 ft. / 1524 x 30 m,Publicly-owned,Runway 15/33
RNO,"39-29-56.8000N 119-46-05.2000W
39-29.946667N 119-46.086667W
39.4991111,-119.7681111
(estimated)",4414.9 ft. / 1345.7 m (surveyed),13E (2020),"3 miles SE of RENO, NV",UTC -8 (UTC -7 during Daylight Saving Time),89502,Open to the public,11/1938,yes,OAKLAND CENTER,RENO FLIGHT SERVICE STATION,CONTINUOUS,11001 x 150 ft. / 3353 x 46 m,tiedowns,9000 x 150 ft. / 2743 x 46 m,6102 x 150 ft. / 1860 x 46 m,Runway 17R/35L
RNT,"47-29-35.3000N 122-12-56.7000W
47-29.588333N 122-12.945000W
47.4931389,-122.2157500
(estimated)",32 ft. / 9.8 m (surveyed),17E (2010),UTC -8 (UTC -7 during Daylight Saving Time),98055,nan,Open to the public,04/1945,yes,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,0700-DUSK,5382 x 200 ft. / 1640 x 61 m,tiedowns,Publicly-owned,  ,Runway 16/34
ROA,"37-19-31.7000N 079-58-31.5000W
37-19.528333N 079-58.525000W
37.3254722,-79.9754167
(estimated)",1175.2 ft. / 358.2 m (surveyed),08W (2010),"3 miles NW of ROANOKE, VA",UTC -5 (UTC -4 during Daylight Saving Time),24019,Open to the public,05/1930,yes,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,6800 x 150 ft. / 2073 x 46 m,5810 x 150 ft. / 1771 x 46 m,Runway 6/24
ROW,"33-17-59.5308N 104-31-45.8315W
33-17.992180N 104-31.763858W
33.2998697,-104.5293976
(estimated)",3671 ft. / 1118.9 m (surveyed),10E (1995),"3 miles S of ROSWELL, NM",UTC -7 (UTC -6 during Daylight Saving Time),88203,Open to the public,10/1967,yes,ALBUQUERQUE CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,"0600-2100
AFT HR - 575-347-2054 OR 575-626-3697.","100LL JET-A JET-A1+
100LL:AFT HR - 575-347-2054.",,13001 x 150 ft. / 3963 x 46 m,9999 x 100 ft. / 3048 x 30 m,Runway 3/21
RRT,"48-56-29.3000N 095-20-54.5000W
48-56.488333N 095-20.908333W
48.9414722,-95.3484722
(estimated)",1075.5 ft. / 327.8 m (surveyed),04E (1995),"2 miles NW of WARROAD, MN",UTC -6 (UTC -5 during Daylight Saving Time),56763,Open to the public,08/1949,no,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,"MON-FRI 0700-1700
FOR SVC NGTS & WKENDS CALL AMGR.","100LL JET-A
100LL:FUEL AVBL H24 SELF SVC VIA CREDIT CARD.",,5400 x 100 ft. / 1646 x 30 m,2987 x 150 ft. / 910 x 46 m,Runway 13/31
RST,"43-54-29.8000N 092-30-00.1000W
43-54.496667N 092-30.001667W
43.9082778,-92.5000278
(estimated)",1317.4 ft. / 401.5 m (surveyed),01W (2025),"7 miles SW of ROCHESTER, MN",UTC -6 (UTC -5 during Daylight Saving Time),55902,Open to the public,04/1961,yes,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,CONTINUOUS,9034 x 150 ft. / 2754 x 46 m,hangars,7301 x 150 ft. / 2225 x 46 m,Publicly-owned,Runway 13/31
RSW,"26-32-10.1900N 081-45-18.5580W
26-32.169833N 081-45.309300W
26.5361639,-81.7551550
(estimated)",29.9 ft. / 9.1 m (surveyed),04W (2000),"10 miles SE of FORT MYERS, FL",UTC -5 (UTC -4 during Daylight Saving Time),33913,Open to the public,03/1983,yes,MIAMI CENTER,MIAMI FLIGHT SERVICE STATION,0700-0100,100LL JET-A JET-A+,,12000 x 150 ft. / 3658 x 46 m,Publicly-owned,Runway 6/24
RTS,"39-40-05.4370N 119-52-35.1827W
39-40.090617N 119-52.586378W
39.6681769,-119.8764396
(estimated)",5050.1 ft. / 1539.3 m (surveyed),16E (2000),"10 miles NW of RENO, NV",UTC -8 (UTC -7 during Daylight Saving Time),89506,Open to the public,08/1943,no,OAKLAND CENTER,RENO FLIGHT SERVICE STATION,MONDAY - FRIDAY 0700-1630,9000 x 150 ft. / 2743 x 46 m,hangars and tiedowns,7608 x 150 ft. / 2319 x 46 m,Publicly-owned,Runway 14/32
RVF,"45-32-07.5000N 112-18-08.2000W
45-32.125000N 112-18.136667W
45.5354167,-112.3022778
(estimated)",4788.7 ft. / 1459.6 m (surveyed),12E (2020),"2 miles SE of TWIN BRIDGES, MT",UTC -7 (UTC -6 during Daylight Saving Time),59749,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,MON-FRI 0800-1700,6000 x 60 ft. / 1829 x 18 m,hangars and tiedowns,2866 x 100 ft. / 874 x 30 m,Publicly-owned,Runway 17/35
RYN,"32-08-31.9600N 111-10-28.4850W
32-08.532667N 111-10.474750W
32.1422111,-111.1745792
(estimated)",2418.9 ft. / 737.3 m (surveyed),12E (1985),"10 miles SW of TUCSON, AZ",UTC -7 (year round; does not observe DST),85735,Open to the public,03/1943,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,"M-F 0800-1700, ALL SAT 0800-1700","100LL JET-A
100LL:FUEL 0800 - 1700; AFT HR JET A FEE FOR ON CALL SVC - 520-744-7474; SELF SERVE 100LL AVBL H24 WITH CREDIT CARD.",,5500 x 75 ft. / 1676 x 23 m,4900 x 75 ft. / 1494 x 23 m,Runway 6R/24L
RYY,"34-00-47.4000N 084-35-49.3000W
34-00.790000N 084-35.821667W
34.0131667,-84.5970278
(estimated)",1040.4 ft. / 317.1 m (surveyed),04W (2005),"21 miles NW of ATLANTA, GA",UTC -5 (UTC -4 during Daylight Saving Time),30144,Open to the public,12/1942,yes,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,0600-0000,100LL JET-A+,,6295 x 100 ft. / 1919 x 30 m,Publicly-owned,Runway 9/27
RZR,"35-12-44.4110N 084-47-57.1160W
35-12.740183N 084-47.951933W
35.2123364,-84.7991989
(estimated)",865.6 ft. / 263.8 m (surveyed),05W (2015),"3 miles NE of CLEVELAND, TN",UTC -5 (UTC -4 during Daylight Saving Time),37312,Open to the public,01/2013,no,ATLANTA CENTER,NASHVILLE FLIGHT SERVICE STATION,0700-1800,100LL JET-A JET-A1,,6200 x 100 ft. / 1890 x 30 m,Publicly-owned,Runway 3/21
S21,"43-52-34.7250N 121-27-10.9850W
43-52.578750N 121-27.183083W
43.8763125,-121.4530514
(estimated)",4163.5 ft. / 1269.0 m (surveyed),18E (1985),"1 mile W of SUNRIVER, OR",UTC -8 (UTC -7 during Daylight Saving Time),97707,Open to the public,05/1969,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"MAY 15 - 14 OCT 0700-1900, 15 OCT - 14 MAY 0800-1800",5460 x 75 ft. / 1664 x 23 m,hangars and tiedowns,Privately-owned,  ,Runway 18/36
S25,"47-47-34.7970N 103-14-57.6680W
47-47.579950N 103-14.961133W
47.7929992,-103.2493522
(estimated)",2135.1 ft. / 650.8 m (surveyed),07E (2025),"1 mile ESE of WATFORD CITY, ND",UTC -6 (UTC -5 during Daylight Saving Time),58854,Open to the public,no,SALT LAKE CITY CENTER,GRAND FORKS FLIGHT SERVICE STATION,GFK (NOTAM-D service available),lighted,6550 x 75 ft. / 1996 x 23 m,hangars and tiedowns,Publicly-owned,  ,Runway 12/30
S33,"44-40-12.5880N 121-09-18.5370W
44-40.209800N 121-09.308950W
44.6701633,-121.1551492
(estimated)",2437.6 ft. / 743.0 m (surveyed),16E (2010),"3 miles NW of MADRAS, OR",UTC -8 (UTC -7 during Daylight Saving Time),97741,Open to the public,12/1938,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"NOV-APR 0800-1700, MAY-OCT 0800-1800",5091 x 75 ft. / 1552 x 23 m,hangars and tiedowns,2701 x 50 ft. / 823 x 15 m,Publicly-owned,Runway 16/34
S39,"44-17-16.2760N 120-54-19.7910W
44-17.271267N 120-54.329850W
44.2878544,-120.9054975
(estimated)",3251.2 ft. / 991.0 m (surveyed),14E (2025),"3 miles SW of PRINEVILLE, OR",UTC -8 (UTC -7 during Daylight Saving Time),97754,Open to the public,01/1943,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"SAT-SUN 0900-1400, ALL MON-FRI 0800-16:30",5405 x 75 ft. / 1647 x 23 m,tiedowns,4053 x 40 ft. / 1235 x 12 m,Publicly-owned,Runway 11/29
S52,"48-25-29.8140N 120-08-45.1880W
48-25.496900N 120-08.753133W
48.4249483,-120.1458856
(estimated)",1706 ft. / 520 m (estimated),20E (1985),"3 miles SE of WINTHROP, WA",UTC -8 (UTC -7 during Daylight Saving Time),98862,Open to the public,12/1938,no,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,UNATNDD,Publicly-owned,"asphalt, in excellent condition",  ,MOUNTAINOUS TRRN SURROUNDS ARPT.,Runway 13/31
S97,"48-06-17.0230N 119-43-11.6960W
48-06.283717N 119-43.194933W
48.1047286,-119.7199156
(estimated)",919.5 ft. / 280.3 m (surveyed),20E (1985),"3 miles E of BREWSTER, WA",UTC -8 (UTC -7 during Daylight Saving Time),98812,Open to the public,01/1965,no,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,UNATNDD,Publicly-owned,"asphalt, in good condition",  ,TWY LGTS ON CNTR TWY ONLY.,Runway 7/25
SAA,"41-26-36.7000N 106-49-39.1000W
41-26.611667N 106-49.651667W
41.4435278,-106.8275278
(estimated)",7014.2 ft. / 2137.9 m (surveyed),12E (1995),"1 mile SW of SARATOGA, WY",UTC -7 (UTC -6 during Daylight Saving Time),82331,Open to the public,05/1946,no,DENVER CENTER,CASPER FLIGHT SERVICE STATION,"APR-NOV 0800-1700, DEC-MAR 0800-1600","100LL JET-A
A:FULL SERVICE FUEL. FEE APPLIED JET AIRCRAFT. AFT HRS CALL 307-326-8344.",,8801 x 100 ft. / 2683 x 30 m,Publicly-owned,Runway 5/23
SAC,"38-30-46.3000N 121-29-35.8810W
38-30.771667N 121-29.598017W
38.5128611,-121.4933003
(estimated)",23.6 ft. / 7.2 m (surveyed),14E (2010),"3 miles S of SACRAMENTO, CA",UTC -8 (UTC -7 during Daylight Saving Time),95822,Open to the public,04/1940,yes,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,0800-1600,5503 x 150 ft. / 1677 x 46 m,tiedowns,3837 x 100 ft. / 1170 x 30 m,60 x 60 ft. / 18 x 18 m,Runway 2/20
SAD,"32-51-12.0280N 109-38-06.2950W
32-51.200467N 109-38.104917W
32.8533411,-109.6350819
(estimated)",3178.4 ft. / 968.8 m (surveyed),12E (1985),"3 miles E of SAFFORD, AZ",UTC -7 (year round; does not observe DST),85546,Open to the public,07/1942,no,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,"MON-SAT 0800-1700, ALL SUN ON CALL
AFT HR - 928-428-7820.",6007 x 100 ft. / 1831 x 30 m,hangars and tiedowns,4802 x 60 ft. / 1464 x 18 m,72 x 72 ft. / 22 x 22 m,Runway 12/30
SAF,"35-37-01.6000N 106-05-21.9000W
35-37.026667N 106-05.365000W
35.6171111,-106.0894167
(estimated)",6348.7 ft. / 1935.1 m (surveyed),08E (2020),"9 miles SW of SANTA FE, NM",UTC -7 (UTC -6 during Daylight Saving Time),87505,Open to the public,06/1942,yes,ALBUQUERQUE CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,"0600-2200
AFT HR SVC - 505-577-7256 OR 505-471-2255.",8366 x 150 ft. / 2550 x 46 m,hangars and tiedowns,6316 x 100 ft. / 1925 x 30 m,6301 x 75 ft. / 1921 x 23 m,Runway 2/20
SAN,"32-44-00.8260N 117-11-22.7880W
32-44.013767N 117-11.379800W
32.7335628,-117.1896633
(estimated)",16.8 ft. / 5 m (estimated),11E (2020),"2 miles W of SAN DIEGO, CA",UTC -8 (UTC -7 during Daylight Saving Time),92101,Open to the public,04/1940,yes,LOS ANGELES CENTER,SAN DIEGO FLIGHT SERVICE STATION,CONTINUOUS,9401 x 200 ft. / 2865 x 61 m,hangars and tiedowns,Publicly-owned,  ,Runway 9/27
SAT,"29-32-02.2500N 098-28-08.6050W
29-32.037500N 098-28.143417W
29.5339583,-98.4690569
(estimated)",809.1 ft. / 246.6 m (surveyed),04E (2020),"7 miles N of SAN ANTONIO, TX",UTC -6 (UTC -5 during Daylight Saving Time),78216,Open to the public,07/1942,yes,HOUSTON CENTER,SAN ANGELO FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8505 x 150 ft. / 2592 x 46 m,8502 x 150 ft. / 2591 x 46 m,Runway 4/22
SAV,"32-07-39.3000N 081-12-07.7000W
32-07.655000N 081-12.128333W
32.1275833,-81.2021389
(estimated)",50.2 ft. / 15.3 m (surveyed),06W (2005),"7 miles NW of SAVANNAH, GA",UTC -5 (UTC -4 during Daylight Saving Time),31408,Open to the public,09/1942,yes,JACKSONVILLE CENTER,MACON FLIGHT SERVICE STATION,0600-2300,"100LL JET-A JET-A++
A:FUEL: (A++100(MIL)).",,9351 x 150 ft. / 2850 x 46 m,7002 x 150 ft. / 2134 x 46 m,Runway 10/28
SAW,"46-20-56.9700N 087-23-46.9380W
46-20.949500N 087-23.782300W
46.3491583,-87.3963717
(estimated)",1204.5 ft. / 367.1 m (surveyed),04W (2000),"17 miles S of MARQUETTE, MI",UTC -5 (UTC -4 during Daylight Saving Time),49841,Open to the public,yes,MINNEAPOLIS CENTER,GREEN BAY FLIGHT SERVICE STATION,SAW (NOTAM-D service available),lighted,9072 x 150 ft. / 2765 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 1/19
SBA,"34-25-34.2889N 119-50-29.3737W
34-25.571482N 119-50.489562W
34.4261914,-119.8414927
(estimated)",13.4 ft. / 4.1 m (surveyed),14E (1985),"7 miles W of SANTA BARBARA, CA",UTC -8 (UTC -7 during Daylight Saving Time),93117,Open to the public,04/1940,yes,LOS ANGELES CENTER,HAWTHORNE FLIGHT SERVICE STATION,0600-2300,6052 x 150 ft. / 1845 x 46 m,tiedowns,4184 x 100 ft. / 1275 x 30 m,4180 x 75 ft. / 1274 x 23 m,Runway 7/25
SBD,"34-05-43.3000N 117-14-05.6000W
34-05.721667N 117-14.093333W
34.0953611,-117.2348889
(estimated)",1159.3 ft. / 353.4 m (surveyed),13E (2005),"2 miles SE of SAN BERNARDINO, CA",UTC -8 (UTC -7 during Daylight Saving Time),92408,Open to the public,07/1940,yes,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,MON-SUN 0700-2100,100LL JET-A,,10000 x 200 ft. / 3048 x 61 m,Publicly-owned,Runway 6/24
SBP,"35-14-14.2000N 120-38-33.4000W
35-14.236667N 120-38.556667W
35.2372778,-120.6426111
(estimated)",212.3 ft. / 64.7 m (surveyed),15E (1980),"3 miles S of SAN LUIS OBISPO, CA",UTC -8 (UTC -7 during Daylight Saving Time),93401,Open to the public,04/1940,yes,LOS ANGELES CENTER,HAWTHORNE FLIGHT SERVICE STATION,0600-1700,6101 x 150 ft. / 1860 x 46 m,tiedowns,2500 x 100 ft. / 762 x 30 m,Publicly-owned,Runway 11/29
SBS,"40-30-58.5390N 106-51-58.6860W
40-30.975650N 106-51.978100W
40.5162608,-106.8663017
(estimated)",6882.4 ft. / 2097.8 m (surveyed),10E (2010),"3 miles NW of STEAMBOAT SPRINGS, CO",UTC -7 (UTC -6 during Daylight Saving Time),80487,Open to the public,01/1942,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,"NOV-APR 0700-1700, MAY-OCT 0700-1700",4452 x 100 ft. / 1357 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 14/32
SC3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SCK,"37-53-39.8770N 121-14-19.4640W
37-53.664617N 121-14.324400W
37.8944103,-121.2387400
(estimated)",33.2 ft. / 10.1 m (surveyed),14E (2010),"3 miles SE of STOCKTON, CA",UTC -8 (UTC -7 during Daylight Saving Time),95206,Open to the public,04/1940,yes,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,CONTINUOUS,10249 x 150 ft. / 3124 x 46 m,hangars,4448 x 75 ft. / 1356 x 23 m,70 x 70 ft. / 21 x 21 m,Runway 11L/29R
SDL,"33-37-22.4000N 111-54-37.9000W
33-37.373333N 111-54.631667W
33.6228889,-111.9105278
(estimated)",1510.1 ft. / 460.3 m (surveyed),12E (1990),"9 miles N of SCOTTSDALE, AZ",UTC -7 (year round; does not observe DST),85260,Open to the public,03/1943,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,CONTINUOUS,"8249 x 100 ft. / 2514 x 30 m
200 FT BLAST PAD BOTH ENDS.",hangars and tiedowns,Publicly-owned,  ,Runway 3/21
SDP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SDY,"47-42-24.7000N 104-11-33.2000W
47-42.411667N 104-11.553333W
47.7068611,-104.1925556
(estimated)",1985.3 ft. / 605.1 m (surveyed),09E (2010),"1 mile W of SIDNEY, MT",UTC -7 (UTC -6 during Daylight Saving Time),59270,Open to the public,01/1951,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,"0600-1900
ON CALL 24 HOURS A DAY",5705 x 100 ft. / 1739 x 30 m,hangars and tiedowns,4024 x 100 ft. / 1227 x 30 m,Publicly-owned,Runway 1/19
SEZ,"34-50-54.9210N 111-47-18.4110W
34-50.915350N 111-47.306850W
34.8485892,-111.7884475
(estimated)",4830.5 ft. / 1472.3 m (surveyed),13E (1985),"2 miles SW of SEDONA, AZ",UTC -7 (year round; does not observe DST),86336,Open to the public,05/1956,no,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,"MAY-SEP 0700-1800, OCT-APR 0700-1700",5132 x 100 ft. / 1564 x 30 m,hangars and tiedowns,50 x 50 ft. / 15 x 15 m,Publicly-owned,Runway 3/21
SFF,"47-40-58.5860N 117-19-20.7340W
47-40.976433N 117-19.345567W
47.6829406,-117.3224261
(estimated)",1956.7 ft. / 596.4 m (surveyed),16E (2010),"4 miles NE of SPOKANE, WA",UTC -8 (UTC -7 during Daylight Saving Time),99212,Open to the public,10/1937,yes,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,0600-2000,100LL JET-A1+,,4499 x 140 ft. / 1371 x 43 m,2650 x 75 ft. / 808 x 23 m,Runway 4L/22R
