airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
ENW,"42-35-45.8280N 087-55-38.3650W
42-35.763800N 087-55.639417W
42.5960633,-87.9273236
(estimated)",742.6 ft. / 226.3 m (surveyed),02W (1990),"4 miles W of KENOSHA, WI",UTC -6 (UTC -5 during Daylight Saving Time),53144,Open to the public,05/1959,yes,CHICAGO CENTER,GREEN BAY FLIGHT SERVICE STATION,0700-2100,100LL JET-A,,6600 x 100 ft. / 2012 x 30 m,4440 x 100 ft. / 1353 x 30 m,Runway 7L/25R
EQY,"35-01-02.6980N 080-37-19.4010W
35-01.044967N 080-37.323350W
35.0174161,-80.6220558
(estimated)",682.6 ft. / 208.1 m (surveyed),06W (1990),"5 miles NW of MONROE, NC",UTC -5 (UTC -4 during Daylight Saving Time),28110,Open to the public,no,ATLANTA CENTER,RALEIGH FLIGHT SERVICE STATION,EQY (NOTAM-D service available),lighted,"100LL JET-A1+
100LL:FUEL 24 HR CREDIT CARD SVC AVBL.",,7001 x 100 ft. / 2134 x 30 m,Publicly-owned,Runway 5/23
EUG,"44-07-28.5000N 123-12-43.1000W
44-07.475000N 123-12.718333W
44.1245833,-123.2119722
(estimated)",373.7 ft. / 113.9 m (surveyed),15E (2020),"7 miles NW of EUGENE, OR",UTC -8 (UTC -7 during Daylight Saving Time),97402,Open to the public,02/1943,yes,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8009 x 150 ft. / 2441 x 46 m,6000 x 150 ft. / 1829 x 46 m,Runway 16R/34L
EVB,"29-03-20.5000N 080-56-56.1000W
29-03.341667N 080-56.935000W
29.0556944,-80.9489167
(estimated)",10.8 ft. / 3.3 m (surveyed),04W (1990),"3 miles NW of NEW SMYRNA BEACH, FL",UTC -5 (UTC -4 during Daylight Saving Time),32168,Open to the public,04/1940,yes,JACKSONVILLE CENTER,SAINT PETERSBURG FLIGHT SERVICE STATION,"0700-2200
FOR ATTENDANT AFT 2200, CALL 386-410-2680.",5000 x 75 ft. / 1524 x 23 m,hangars and tiedowns,4319 x 75 ft. / 1316 x 23 m,4000 x 100 ft. / 1219 x 30 m,Runway 7/25
EVV,"38-02-26.9000N 087-31-42.6000W
38-02.448333N 087-31.710000W
38.0408056,-87.5285000
(estimated)",421.9 ft. / 128.6 m (surveyed),03W (2015),"3 miles N of EVANSVILLE, IN",UTC -6 (UTC -5 during Daylight Saving Time),47725,Open to the public,04/1940,yes,INDIANAPOLIS CENTER,TERRE HAUTE FLIGHT SERVICE STATION,CONTINUOUS,8021 x 150 ft. / 2445 x 46 m,hangars and tiedowns,6286 x 150 ft. / 1916 x 46 m,3497 x 75 ft. / 1066 x 23 m,Runway 4/22
EVW,"41-16-29.2000N 111-02-04.7000W
41-16.486667N 111-02.078333W
41.2747778,-111.0346389
(estimated)",7142.5 ft. / 2177.0 m (surveyed),13E (2005),"3 miles W of EVANSTON, WY",UTC -7 (UTC -6 during Daylight Saving Time),82930,Open to the public,03/1985,no,SALT LAKE CITY CENTER,CASPER FLIGHT SERVICE STATION,"0700-1900
FOR SVC AFT HRS CALL 1-307-789-2256.",7300 x 100 ft. / 2225 x 30 m,tiedowns,Publicly-owned,  ,Runway 5/23
EWK,"38-03-25.5650N 097-16-30.8220W
38-03.426083N 097-16.513700W
38.0571014,-97.2752283
(estimated)",1533.5 ft. / 467 m (estimated),06E (2000),"3 miles E of NEWTON, KS",UTC -6 (UTC -5 during Daylight Saving Time),67114,Open to the public,02/1944,no,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,"0700-2300
PHONE NUMBER FOR FUEL AFT HRS 316-284-6084 AND IS POSTED AT ARPT.",100LL JET-A,,7003 x 100 ft. / 2135 x 30 m,"3501 x 60 ft. / 1067 x 18 m
RWY 08/26 60 FT WIDE ASPHALT.",Runway 17/35
EYW,"24-33-22.0310N 081-45-35.8410W
24-33.367183N 081-45.597350W
24.5561197,-81.7599558
(estimated)",3.4 ft. / 1.0 m (surveyed),04W (2000),"2 miles E of KEY WEST, FL",UTC -5 (UTC -4 during Daylight Saving Time),33040,Open to the public,04/1940,yes,MIAMI CENTER,MIAMI FLIGHT SERVICE STATION,0700-2300,100LL JET-A,,5076 x 100 ft. / 1547 x 30 m,Publicly-owned,Runway 9/27
F05,"34-13-32.4000N 099-17-01.5000W
34-13.540000N 099-17.025000W
34.2256667,-99.2837500
(estimated)",1264.7 ft. / 385.5 m (surveyed),08E (1980),"4 miles N of VERNON, TX",UTC -6 (UTC -5 during Daylight Saving Time),76384,Open to the public,02/1947,no,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,MON-SAT 0800-1700,5099 x 100 ft. / 1554 x 30 m,hangars and tiedowns,4304 x 80 ft. / 1312 x 24 m,Publicly-owned,Runway 2/20
FAI,"64-48-55.2800N 147-51-24.0000W
64-48.921333N 147-51.400000W
64.8153556,-147.8566667
(estimated)",439 ft. / 133.8 m (surveyed),15E (2025),"3 miles SW of FAIRBANKS, AK",UTC -9 (UTC -8 during Daylight Saving Time),99709,Open to the public,06/1951,yes,ANCHORAGE CENTER,FAIRBANKS FLIGHT SERVICE STATION (on field) [907-474-0788],CONTINUOUS,100LL JET-A1,,11800 x 150 ft. / 3597 x 46 m,4510 x 75 ft. / 1375 x 23 m,Runway 2L/20R
FAR,"46-55-14.3000N 096-48-56.7000W
46-55.238333N 096-48.945000W
46.9206389,-96.8157500
(estimated)",901.3 ft. / 274.7 m (surveyed),04E (2005),"3 miles NW of FARGO, ND",UTC -6 (UTC -5 during Daylight Saving Time),58102,Open to the public,08/1937,yes,MINNEAPOLIS CENTER,GRAND FORKS FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A+ JET-A++ J8,,9001 x 150 ft. / 2744 x 46 m,6302 x 100 ft. / 1921 x 30 m,Runway 18/36
FAT,"36-46-35.6000N 119-43-07.8000W
36-46.593333N 119-43.130000W
36.7765556,-119.7188333
(estimated)",335.5 ft. / 102.3 m (surveyed),13E (2020),"5 miles NE of FRESNO, CA",UTC -8 (UTC -7 during Daylight Saving Time),93727,Open to the public,06/1942,yes,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,CONTINUOUS,9539 x 150 ft. / 2907 x 46 m,hangars and tiedowns,8008 x 150 ft. / 2441 x 46 m,Publicly-owned,Runway 11L/29R
FBK,"64-50-15.4040N 147-36-52.1710W
64-50.256733N 147-36.869517W
64.8376122,-147.6144919
(estimated)",448.6 ft. / 136.7 m (surveyed),17E (2020),2 miles E of central business district of the associated city,UTC -9 (UTC -8 during Daylight Saving Time),99703,"Private use, 24 HR PPR FOR TSNT - D317-353-7212/6514/C907-353-7212/6514.",05/1949,yes,ANCHORAGE CENTER,FAIRBANKS FLIGHT SERVICE STATION [907-474-0788],MON-FRI 1700-0800++,J8,,8575 x 150 ft. / 2614 x 46 m,50 x 50 ft. / 15 x 15 m,Runway 7/25
FCM,"44-49-39.0260N 093-27-30.8580W
44-49.650433N 093-27.514300W
44.8275072,-93.4585717
(estimated)",906.2 ft. / 276.2 m (surveyed),03E (1985),"11 miles SW of MINNEAPOLIS, MN",UTC -6 (UTC -5 during Daylight Saving Time),55347,Open to the public,12/1945,yes,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,CONTINUOUS,5001 x 100 ft. / 1524 x 30 m,hangars and tiedowns,3901 x 75 ft. / 1189 x 23 m,2690 x 75 ft. / 820 x 23 m,Runway 10R/28L
FDK,"39-25-01.2760N 077-22-29.0360W
39-25.021267N 077-22.483933W
39.4170211,-77.3747322
(estimated)",308.9 ft. / 94.2 m (surveyed),08W (1980),UTC -5 (UTC -4 during Daylight Saving Time),21701,nan,Open to the public,12/2003,yes,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,"0700-2100++
ARPT UNATNDD CHRISTMAS DAY.","100LL JET-A
100LL:SELF SERVE 100LL AVBL H24 WITH CREDIT CARD.",,5819 x 100 ft. / 1774 x 30 m,3599 x 75 ft. / 1097 x 23 m,Runway 5/23
FET,"41-26-59.8000N 096-31-16.3000W
41-26.996667N 096-31.271667W
41.4499444,-96.5211944
(estimated)",1204 ft. / 367.0 m (surveyed),03E (2015),"2 miles NW of FREMONT, NE",UTC -6 (UTC -5 during Daylight Saving Time),68025,Open to the public,03/1941,no,MINNEAPOLIS CENTER,COLUMBUS FLIGHT SERVICE STATION,"0700-2000
FOR ATTENDANT AFT HRS CALL (402) 727-4665/(402) 719-9364 OR (402) 720-2863.",100LL JET-A,,6353 x 100 ft. / 1936 x 30 m,Publicly-owned,Runway 14/32
FFC,"33-21-27.8000N 084-34-21.1000W
33-21.463333N 084-34.351667W
33.3577222,-84.5725278
(estimated)",807.7 ft. / 246.2 m (surveyed),05W (2015),"25 miles SW of ATLANTA, GA",UTC -5 (UTC -4 during Daylight Saving Time),30269,Open to the public,10/1970,no,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,"0700-2000, DECEMBER 25 CLSD, NOVEMBER 26 0700-1200, DECEMBER 24 0700-1200",100LL JET-A+,,5768 x 100 ft. / 1758 x 30 m,40 x 40 ft. / 12 x 12 m,Runway 13/31
FFT,"38-10-54.2341N 084-54-24.2992W
38-10.903902N 084-54.404987W
38.1817317,-84.9067498
(estimated)",812.3 ft. / 247.6 m (surveyed),05W (2015),"1 mile SW of FRANKFORT, KY",UTC -5 (UTC -4 during Daylight Saving Time),40601,Open to the public,07/1954,no,INDIANAPOLIS CENTER,LOUISVILLE FLIGHT SERVICE STATION,"MON-FRI 0700-2000, ALL SAT-SUN 0900-1800",100LL JET-A+,,5506 x 100 ft. / 1678 x 30 m,Publicly-owned,Runway 7/25
FFZ,"33-27-39.0260N 111-43-41.9710W
33-27.650433N 111-43.699517W
33.4608406,-111.7283253
(estimated)",1394 ft. / 424.9 m (surveyed),12E (1990),"5 miles NE of MESA, AZ",UTC -7 (year round; does not observe DST),85215,Open to the public,12/1941,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,"CONTINUOUS
FOR SVC CTC FBO ON 122.950 (480-832-2582).",5100 x 100 ft. / 1554 x 30 m,tiedowns,3799 x 75 ft. / 1158 x 23 m,Publicly-owned,Runway 4R/22L
FHR,"48-31-19.1000N 123-01-27.7000W
48-31.318333N 123-01.461667W
48.5219722,-123.0243611
(estimated)",112.7 ft. / 34.4 m (surveyed),16E (2015),UTC -8 (UTC -7 during Daylight Saving Time),98250,nan,Open to the public,03/1939,no,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,"MON-FRI 0800-1700
NO ATTENDANCE DURING HOLIDAYS.",100LL,,3402 x 75 ft. / 1037 x 23 m,Publicly-owned,Runway 16/34
FHU,"31-35-18.5000N 110-20-39.8000W
31-35.308333N 110-20.663333W
31.5884722,-110.3443889
(estimated)",4719.1 ft. / 1438.4 m (surveyed),10E (2015),"3 miles N of FORT HUACHUCA SIERRA VISTA, AZ",UTC -7 (year round; does not observe DST),85613,Open to the public,11/1972,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,MON-FRI 1400-2230Z,12001 x 150 ft. / 3658 x 46 m,WHEN ATCT CLSD 121.5 MNTD FOR EMERG.,5366 x 100 ft. / 1636 x 30 m,4285 x 75 ft. / 1306 x 23 m,Runway 8/26
FLG,"35-08-25.1370N 111-40-09.2690W
35-08.418950N 111-40.154483W
35.1403158,-111.6692414
(estimated)",7014.7 ft. / 2138.1 m (surveyed),10E (2020),"4 miles S of FLAGSTAFF, AZ",UTC -7 (year round; does not observe DST),86001,Open to the public,11/1948,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,CONTINUOUS,8800 x 150 ft. / 2682 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 3/21
FLL,"26-04-18.0000N 080-08-58.9000W
26-04.300000N 080-08.981667W
26.0716667,-80.1496944
(estimated)",65 ft. / 19.8 m (surveyed),06W (2015),"3 miles SW of FORT LAUDERDALE, FL",UTC -5 (UTC -4 during Daylight Saving Time),33315,Open to the public,04/1940,yes,MIAMI CENTER,MIAMI FLIGHT SERVICE STATION,CONTINUOUS,9000 x 150 ft. / 2743 x 46 m,hangars and tiedowns,8000 x 150 ft. / 2438 x 46 m,Publicly-owned,Runway 10L/28R
FMM,"40-20-07.6000N 103-48-15.0000W
40-20.126667N 103-48.250000W
40.3354444,-103.8041667
(estimated)",4595.3 ft. / 1400.6 m (surveyed),08E (2015),"5 miles N of FORT MORGAN, CO",UTC -7 (UTC -6 during Daylight Saving Time),80701,Open to the public,04/1940,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,MON-SAT 0800-1700,5731 x 75 ft. / 1747 x 23 m,hangars and tiedowns,5216 x 80 ft. / 1590 x 24 m,2468 x 100 ft. / 752 x 30 m,Runway 14/32
FMN,"36-44-28.5040N 108-13-47.7900W
36-44.475067N 108-13.796500W
36.7412511,-108.2299417
(estimated)",5506.6 ft. / 1678.4 m (surveyed),12E (1985),"1 mile NW of FARMINGTON, NM",UTC -7 (UTC -6 during Daylight Saving Time),87401,Open to the public,yes,DENVER CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,FMN (NOTAM-D service available),lighted,6704 x 100 ft. / 2043 x 30 m,hangars and tiedowns,6501 x 150 ft. / 1982 x 46 m,Publicly-owned,Runway 7/25
FNL,"40-27-06.5370N 105-00-40.7720W
40-27.108950N 105-00.679533W
40.4518158,-105.0113256
(estimated)",5020.3 ft. / 1530.2 m (surveyed),09E (2010),9 miles SE of central business district of the associated city,UTC -7 (UTC -6 during Daylight Saving Time),80538,Open to the public,yes,DENVER CENTER,DENVER FLIGHT SERVICE STATION,FNL (NOTAM-D service available),lighted,8500 x 100 ft. / 2591 x 30 m,hangars and tiedowns,2189 x 40 ft. / 667 x 12 m,Publicly-owned,Runway 15/33
FOT,"40-33-14.1890N 124-07-57.5600W
40-33.236483N 124-07.959333W
40.5539414,-124.1326556
(estimated)",392.7 ft. / 119.7 m (surveyed),17E (2000),"3 miles SE of FORTUNA, CA",UTC -8 (UTC -7 during Daylight Saving Time),95540,Open to the public,02/1947,no,SEATTLE CENTER,OAKLAND FLIGHT SERVICE STATION,UNATNDD,4004 x 100 ft. / 1220 x 30 m,tiedowns,Publicly-owned,  ,Runway 11/29
FPR,"27-29-50.9000N 080-22-21.5000W
27-29.848333N 080-22.358333W
27.4974722,-80.3726389
(estimated)",23.4 ft. / 7.1 m (surveyed),07W (2015),"3 miles NW of FORT PIERCE, FL",UTC -5 (UTC -4 during Daylight Saving Time),34946,Open to the public,yes,MIAMI CENTER,MIAMI FLIGHT SERVICE STATION,FPR (NOTAM-D service available),lighted,"100LL JET-A
100LL:100LL SELF SERVE",,"6492 x 150 ft. / 1979 x 46 m
25' PAVED SHOULDERS.","4755 x 100 ft. / 1449 x 30 m
50' PAVED SHOULDERS.",Runway 10R/28L
FSD,"43-34-55.2650N 096-44-30.9300W
43-34.921083N 096-44.515500W
43.5820181,-96.7419250
(estimated)",1430 ft. / 435.9 m (surveyed),05E (2000),"3 miles NW of SIOUX FALLS, SD",UTC -6 (UTC -5 during Daylight Saving Time),57104,Open to the public,11/1938,yes,MINNEAPOLIS CENTER,HURON FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,9000 x 150 ft. / 2743 x 46 m,8000 x 150 ft. / 2438 x 46 m,Runway 3/21
FSM,"35-20-11.7120N 094-22-02.8010W
35-20.195200N 094-22.046683W
35.3365867,-94.3674447
(estimated)",468.9 ft. / 142.9 m (surveyed),01E (2025),"3 miles SE of FORT SMITH, AR",UTC -6 (UTC -5 during Daylight Saving Time),72903,Open to the public,07/1941,yes,MEMPHIS CENTER,JONESBORO FLIGHT SERVICE STATION,CONTINUOUS,8017 x 150 ft. / 2444 x 46 m,hangars and tiedowns,5001 x 150 ft. / 1524 x 46 m,Publicly-owned,Runway 8/26
FTW,"32-49-11.1730N 097-21-44.8200W
32-49.186217N 097-21.747000W
32.8197703,-97.3624500
(estimated)",710.1 ft. / 216.4 m (surveyed),08E (1975),"5 miles N of FORT WORTH, TX",UTC -6 (UTC -5 during Daylight Saving Time),76106,Open to the public,02/1938,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A1+,,7502 x 150 ft. / 2287 x 46 m,4005 x 75 ft. / 1221 x 23 m,Runway 16/34
FUL,"33-52-19.2510N 117-58-47.2230W
33-52.320850N 117-58.787050W
33.8720142,-117.9797842
(estimated)",96 ft. / 29.3 m (surveyed),14E (1985),"3 miles W of FULLERTON, CA",UTC -8 (UTC -7 during Daylight Saving Time),92833,Open to the public,04/1940,yes,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,0700-2100,3121 x 75 ft. / 951 x 23 m,tiedowns,37 x 37 ft. / 11 x 11 m,Publicly-owned,Runway 6/24
FXE,"26-11-50.2057N 080-10-14.5426W
26-11.836762N 080-10.242377W
26.1972794,-80.1707063
(estimated)",13.4 ft. / 4.1 m (surveyed),07W (2015),"5 miles N of FORT LAUDERDALE, FL",UTC -5 (UTC -4 during Daylight Saving Time),33309,Open to the public,07/1944,yes,MIAMI CENTER,MIAMI FLIGHT SERVICE STATION,CONTINUOUS,6002 x 100 ft. / 1829 x 30 m,tiedowns,4000 x 100 ft. / 1219 x 30 m,Publicly-owned,Runway 9/27
FYU,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FYV,"36-00-18.3000N 094-10-12.2000W
36-00.305000N 094-10.203333W
36.0050833,-94.1700556
(estimated)",1252 ft. / 381.6 m (surveyed),02E (2015),"3 miles S of FAYETTEVILLE, AR",UTC -6 (UTC -5 during Daylight Saving Time),72701,Open to the public,04/1940,yes,MEMPHIS CENTER,JONESBORO FLIGHT SERVICE STATION,"MON-FRI 0600-2200, ALL SAT-SUN 0800-2000","100LL JET-A
100LL:FOR FUEL AFTER HRS CALL 479-443-4343; FEE CHARGED. SELF SERVICE AVBL 24 HRS.",,6005 x 100 ft. / 1830 x 30 m,Publicly-owned,Runway 16/34
GAL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GCC,"44-20-56.0690N 105-32-21.7230W
44-20.934483N 105-32.362050W
44.3489081,-105.5393675
(estimated)",4365.1 ft. / 1330.5 m (surveyed),09E (2020),"4 miles NW of GILLETTE, WY",UTC -7 (UTC -6 during Daylight Saving Time),82716,Open to the public,11/1937,no,DENVER CENTER,CASPER FLIGHT SERVICE STATION,0500-2400,"100LL JET-A
100LL:24 HR SELF SERVICE CREDIT CARD FUEL AVBL.",,7501 x 150 ft. / 2286 x 46 m,5804 x 75 ft. / 1769 x 23 m,Runway 16/34
GCD,"44-24-10.7352N 118-58-03.7901W
44-24.178920N 118-58.063168W
44.4029820,-118.9677195
(estimated)",3702.5 ft. / 1128.5 m (surveyed),17E (1995),"1 mile SW of JOHN DAY, OR",UTC -8 (UTC -7 during Daylight Saving Time),97845,Open to the public,12/1943,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"OCT-MAY MON-SAT 0800-1600, JUN-SEP 0700-1900",5224 x 60 ft. / 1592 x 18 m,tiedowns,4100 x 60 ft. / 1250 x 18 m,Publicly-owned,Runway 17/35
