airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
MQI,"35-55-08.3380N 075-41-43.9290W
35-55.138967N 075-41.732150W
35.9189828,-75.6955358
(estimated)",12.8 ft. / 3.9 m (surveyed),09W (1985),"1 mile NW of MANTEO, NC",UTC -5 (UTC -4 during Daylight Saving Time),27954,Open to the public,09/1943,no,WASHINGTON CENTER,RALEIGH FLIGHT SERVICE STATION,"0800-1900
UNATTENDED CHRISTMAS DAY. FOR SERVICE AFT HRS CALL 252-216-7028 OR 252-216-8407.","100LL JET-A1+
100LL:100LL AVBL AFT HRS SELF SERVICE WITH CREDIT CARD.",,4306 x 100 ft. / 1312 x 30 m,3303 x 75 ft. / 1007 x 23 m,Runway 5/23
MRB,"39-24-08.4880N 077-58-58.8000W
39-24.141467N 077-58.980000W
39.4023578,-77.9830000
(estimated)",564.8 ft. / 172.2 m (surveyed),08W (1980),"4 miles S of MARTINSBURG, WV",UTC -5 (UTC -4 during Daylight Saving Time),25401,Open to the public,06/1938,yes,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,"MAY-SEPT 0700-1900, OCT-APR 0700-1900",8815 x 150 ft. / 2687 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 8/26
MRF,"30-22-16.0000N 104-01-03.1000W
30-22.266667N 104-01.051667W
30.3711111,-104.0175278
(estimated)",4848.8 ft. / 1477.9 m (surveyed),08E (2010),"3 miles N of MARFA, TX",UTC -6 (UTC -5 during Daylight Saving Time),79843,Open to the public,01/1947,no,ALBUQUERQUE CENTER,SAN ANGELO FLIGHT SERVICE STATION,0800-1600,"100LL JET-A
100LL:100LL, JET-A, SELF SERVE AVLBL 24 HRS.",,6203 x 75 ft. / 1891 x 23 m,5309 x 75 ft. / 1618 x 23 m,Runway 13/31
MRI,"61-12-48.7622N 149-50-41.0069W
61-12.812703N 149-50.683448W
61.2135451,-149.8447241
(estimated)",137.3 ft. / 41.8 m (surveyed),19E (2010),"1 mile E of ANCHORAGE, AK",UTC -9 (UTC -8 during Daylight Saving Time),99508,Open to the public,05/1947,yes,ANCHORAGE CENTER,KENAI FLIGHT SERVICE STATION [907-283-7211],MON-FRI 0730-1700,4000 x 100 ft. / 1219 x 30 m,hangars and tiedowns,2640 x 75 ft. / 805 x 23 m,2000 x 60 ft. / 610 x 18 m,Runway 7/25
MRY,"36-35-13.0280N 121-50-34.0190W
36-35.217133N 121-50.566983W
36.5869522,-121.8427831
(estimated)",256.6 ft. / 78.2 m (surveyed),15E (2000),"3 miles SE of MONTEREY, CA",UTC -8 (UTC -7 during Daylight Saving Time),93940,Open to the public,04/1940,yes,OAKLAND CENTER,OAKLAND FLIGHT SERVICE STATION,CONTINUOUS,7175 x 150 ft. / 2187 x 46 m,tiedowns,3503 x 60 ft. / 1068 x 18 m,Publicly-owned,Runway 10R/28L
MSO,"46-54-58.7000N 114-05-26.0000W
46-54.978333N 114-05.433333W
46.9163056,-114.0905556
(estimated)",3205.6 ft. / 977.1 m (surveyed),13E (2020),"4 miles NW of MISSOULA, MT",UTC -7 (UTC -6 during Daylight Saving Time),59808,Open to the public,07/1941,yes,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,CONTINUOUS,9501 x 150 ft. / 2896 x 46 m,hangars and tiedowns,4612 x 75 ft. / 1406 x 23 m,Publicly-owned,Runway 12/30
MSP,"44-52-55.1000N 093-13-18.4000W
44-52.918333N 093-13.306667W
44.8819722,-93.2217778
(estimated)",841.8 ft. / 256.6 m (surveyed),00E (2015),"6 miles S of MINNEAPOLIS, MN",UTC -6 (UTC -5 during Daylight Saving Time),55450,Open to the public,04/1940,yes,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,CONTINUOUS,11006 x 150 ft. / 3355 x 46 m,hangars and tiedowns,10000 x 200 ft. / 3048 x 61 m,8200 x 150 ft. / 2499 x 46 m,Runway 4/22
MTJ,"38-30-35.3000N 107-53-39.3000W
38-30.588333N 107-53.655000W
38.5098056,-107.8942500
(estimated)",5758.5 ft. / 1755.2 m (surveyed),12E (1995),"1 mile NW of MONTROSE, CO",UTC -7 (UTC -6 during Daylight Saving Time),81401,Open to the public,09/1946,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,"DEC16-MAR31 0500-2100, APR1-DEC15 0530-2100",10000 x 150 ft. / 3048 x 46 m,hangars and tiedowns,7510 x 100 ft. / 2289 x 30 m,Publicly-owned,Runway 17/35
MVI,"37-31-43.4140N 106-02-45.2320W
37-31.723567N 106-02.753867W
37.5287261,-106.0458978
(estimated)",7611.2 ft. / 2319.9 m (surveyed),08E (2020),"5 miles SE of MONTE VISTA, CO",UTC -7 (UTC -6 during Daylight Saving Time),81144,Open to the public,06/1955,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,"MON-FRI 0800-1700, ALL SAT-SUN ON-CALL
SVC AFT HR - AMGR.","5902 x 60 ft. / 1799 x 18 m
430 FT DIRT SWY ON N END.",hangars and tiedowns,2300 x 30 ft. / 701 x 9 m,2100 x 50 ft. / 640 x 15 m,Runway 2/20
MWC,"43-06-37.4000N 088-02-03.9000W
43-06.623333N 088-02.065000W
43.1103889,-88.0344167
(estimated)",744.8 ft. / 227.0 m (surveyed),02W (1990),"5 miles NW of MILWAUKEE, WI",UTC -6 (UTC -5 during Daylight Saving Time),53225,Open to the public,08/1937,yes,CHICAGO CENTER,GREEN BAY FLIGHT SERVICE STATION,"SAT-SUN 0700-2100, ALL MON-FRI 0600-2100",100LL JET-A,,4103 x 75 ft. / 1251 x 23 m,3201 x 75 ft. / 976 x 23 m,Runway 15L/33R
MWH,"47-12-30.9000N 119-19-08.9000W
47-12.515000N 119-19.148333W
47.2085833,-119.3191389
(estimated)",1188.6 ft. / 362.3 m (surveyed),18E (1995),"5 miles NW of MOSES LAKE, WA",UTC -8 (UTC -7 during Daylight Saving Time),98837,Open to the public,yes,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,MWH (NOTAM-D service available),lighted,100LL JET-A JET-A1+,,13503 x 200 ft. / 4116 x 61 m,10000 x 100 ft. / 3048 x 30 m,Runway 14L/32R
MWL,"32-46-53.7800N 098-03-36.6300W
32-46.896333N 098-03.610500W
32.7816056,-98.0601750
(estimated)",973.6 ft. / 297 m (estimated),06E (2000),"3 miles SE of MINERAL WELLS, TX",UTC -6 (UTC -5 during Daylight Saving Time),76067,Open to the public,05/1943,no,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,0600-2000,5996 x 100 ft. / 1828 x 30 m,tiedowns,4188 x 100 ft. / 1277 x 30 m,Publicly-owned,Runway 13/31
MYAF,"24-41-52.5400N 077-47-44.4400W
24-41.875667N 077-47.740667W
24.6979278,-77.7956778
(estimated)",11 ft. / 3 m (estimated),08W (2010),"3 miles SW of FRESH CREEK,",UTC -5 (UTC -4 during Daylight Saving Time),nan,"Open to the public, FOREIGN CIV GOVT. LNDG FEES AND DIPLOMATIC CLNC MAY BE RQR.",07/2008,no,MIAMI CENTER,"MIAMI FLIGHT SERVICE STATION
NASSAU FLT SVC FOR LCL INFO 1-242-377-7116/2006; EMERG 1-242-377-2040.",no,4362 x 100 ft. / 1330 x 30 m,nan,"Publicly-owned
FOREIGN CIV GOVT. LNDG FEES AND DIPLOMATIC CLNC MAY BE RQR.",FIRE EXTINGUISHERS AVBL.,Runway 9/27
MYAM,"26-30-36.4600N 077-05-06.4200W
26-30.607667N 077-05.107000W
26.5101278,-77.0851167
(estimated)",8 ft. / 2 m (estimated),08W (2010),"3 miles SW of MARSH HARBOUR,",UTC -5 (UTC -4 during Daylight Saving Time),nan,"Open to the public, FOREIGN CIV GOVT. LNDG FEES AND DIPLOMATIC CLNC MAY BE RQR.",no,MIAMI CENTER,"MIAMI FLIGHT SERVICE STATION
NASSAU FLT SVC FOR LCL INFO 1-242-377-7116; EMERG 1-242-377-2040.",MON-FRI 1200Z++-DUSK UTC-5(-4DT),international airport of entry,6100 x 100 ft. / 1859 x 30 m,nan,Publicly-owned,PAPI,Runway 9/27
MYL,"44-53-19.4790N 116-06-06.3070W
44-53.324650N 116-06.105117W
44.8887442,-116.1017519
(estimated)",5024.1 ft. / 1531.3 m (surveyed),13E (2020),UTC -7 (UTC -6 during Daylight Saving Time),83638,nan,Open to the public,04/1940,no,SALT LAKE CITY CENTER,BOISE FLIGHT SERVICE STATION,"MAY-SEP 0800L-1800L, OCT-APR 0900L-1600L",6101 x 75 ft. / 1860 x 23 m,hangars and tiedowns,Publicly-owned,  ,Runway 16/34
MZBZ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MZJ,"32-30-35.4000N 111-19-31.2000W
32-30.590000N 111-19.520000W
32.5098333,-111.3253333
(estimated)",1893.1 ft. / 577.0 m (surveyed),12E (1985),"7 miles NW of MARANA, AZ",UTC -7 (year round; does not observe DST),85245,Open to the public,03/1943,no,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,0700-1530,"100LL JET-A
100LL:FOR FUEL & GND SUPPORT SERVICES AFTER HRS & HOLS 24 HR PPR CALL 520-682-4181 X5755; CALL-IN FEE APPLICABLE.",,"6849 x 150 ft. / 2088 x 46 m
20 FT PAVED SHOULDERS.",Publicly-owned,Runway 12/30
NEW,"30-02-32.7000N 090-01-41.7000W
30-02.545000N 090-01.695000W
30.0424167,-90.0282500
(estimated)",7.3 ft. / 2.2 m (surveyed),02E (1995),"4 miles NE of NEW ORLEANS, LA",UTC -6 (UTC -5 during Daylight Saving Time),70126,Open to the public,04/1940,yes,HOUSTON CENTER,DE RIDDER FLIGHT SERVICE STATION,CONTINUOUS,6879 x 150 ft. / 2097 x 46 m,hangars and tiedowns,3697 x 75 ft. / 1127 x 23 m,3114 x 75 ft. / 949 x 23 m,Runway 18R/36L
NLC,"36-19-59.2564N 119-57-07.7819W
36-19.987607N 119-57.129698W
36.3331268,-119.9521616
(estimated)",228.3 ft. / 69.6 m (surveyed),14E (2010),"7 miles W of LEMOORE, CA",UTC -8 (UTC -7 during Daylight Saving Time),93245,Private use. Permission required prior to landing,yes,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,NLC (NOTAM-D service available),no,13502 x 200 ft. / 4115 x 61 m,NONE,13501 x 200 ft. / 4115 x 61 m,U.S. Navy,Runway 14L/32R
NQA,"35-21-23.9010N 089-52-13.5490W
35-21.398350N 089-52.225817W
35.3566392,-89.8704303
(estimated)",322.4 ft. / 98.3 m (surveyed),00E (2000),"1 mile NE of MILLINGTON, TN",UTC -6 (UTC -5 during Daylight Saving Time),38053,Open to the public,12/1974,yes,MEMPHIS CENTER,JACKSON FLIGHT SERVICE STATION,"MON-FRI 0730-0200, ALL SAT-SUN 0700-1900
FOR SVC AFT HRS CALL 901-873-4359.",8000 x 200 ft. / 2438 x 61 m,hangars and tiedowns,Publicly-owned,  ,Runway 4/22
NSTU,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NUQ,"37-24-58.1180N 122-02-56.8650W
37-24.968633N 122-02.947750W
37.4161439,-122.0491292
(estimated)",36.9 ft. / 11 m (estimated),16E (1980),"3 miles N of MOUNTAIN VIEW, CA",UTC -8 (UTC -7 during Daylight Saving Time),94043,Private use. Permission required prior to landing,yes,OAKLAND CENTER,"OAKLAND FLIGHT SERVICE STATION
FSS-OAKLAND OAK-NOTAM NUQ",NUQ (NOTAM-D service available),"1004(968) RWY 14L/R, 1504(1468) RWY 32L/R. MIN ALT 75' AGL OVER HWY AT SOUTH BDRY. TRAN PRACTICE APCH/TGL RQRS ARPT MGR APVL.",9197 x 200 ft. / 2803 x 61 m,tiedowns,8121 x 200 ft. / 2475 x 61 m,"Publicly-owned
LESSEE: PLANETARY VENTURES",Runway 14L/32R
NYL,"32-39-23.6660N 114-36-21.5540W
32-39.394433N 114-36.359233W
32.6565739,-114.6059872
(estimated)",213.3 ft. / 65.0 m (surveyed),13E (2000),"3 miles S of YUMA, AZ",UTC -7 (year round; does not observe DST),85365,Open to the public,04/1940,yes,LOS ANGELES CENTER,PRESCOTT FLIGHT SERVICE STATION,"ALL/ALL/
MIL OPS HR 1430-0600Z DLY; CLSD HOL. VAL/TSNT SVC MON-FRI 1500-0600Z; CLSD SAT-SUN, HOL. MIL AVN OPS NA 1430-1500Z DLY.",13300 x 200 ft. / 4054 x 61 m,tiedowns,9240 x 150 ft. / 2816 x 46 m,6146 x 150 ft. / 1873 x 46 m,Runway 3L/21R
O22,"38-01-49.5000N 120-24-52.4000W
38-01.825000N 120-24.873333W
38.0304167,-120.4145556
(estimated)",2120.7 ft. / 646.4 m (surveyed),16E (1985),"1 mile SW of COLUMBIA, CA",UTC -8 (UTC -7 during Daylight Saving Time),95310,Open to the public,04/1940,no,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,0800-1700,"4673 x 75 ft. / 1424 x 23 m
RY END SAFETY AREAS NSTD LENGTH; RY 17 210 FT; RY 35 300 FT.",tiedowns,2607 x 50 ft. / 795 x 15 m,Publicly-owned,Runway 17/35
O32,"36-40-15.6000N 119-27-03.7000W
36-40.260000N 119-27.061667W
36.6710000,-119.4510278
(estimated)",386 ft. / 117.7 m (surveyed),13E (2020),"4 miles N of REEDLEY, CA",UTC -8 (UTC -7 during Daylight Saving Time),93654,Open to the public,12/1945,no,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,MON-FRI 0800-1530,"100LL JET-A
100LL:FUEL AVBL 24 HRS COMPUTERIZED CREDIT CARD.",,3300 x 60 ft. / 1006 x 18 m,Publicly-owned,Runway 16/34
OAK,"37-43-16.5410N 122-13-16.1420W
37-43.275683N 122-13.269033W
37.7212614,-122.2211506
(estimated)",9 ft. / 2.7 m (surveyed),14E (2015),"4 miles S of OAKLAND, CA",UTC -8 (UTC -7 during Daylight Saving Time),94502,Open to the public,04/1940,yes,OAKLAND CENTER,OAKLAND FLIGHT SERVICE STATION,CONTINUOUS,10520 x 150 ft. / 3206 x 46 m,tiedowns,6213 x 150 ft. / 1894 x 46 m,5457 x 150 ft. / 1663 x 46 m,Runway 12/30
OCF,"29-10-18.7564N 082-13-26.8127W
29-10.312607N 082-13.446878W
29.1718768,-82.2241146
(estimated)",89.7 ft. / 27.3 m (surveyed),04W (2000),"4 miles W of OCALA, FL",UTC -5 (UTC -4 during Daylight Saving Time),34474,Open to the public,08/1961,yes,JACKSONVILLE CENTER,GAINESVILLE FLIGHT SERVICE STATION,"0600-2100
SVC AFT HR - 352-682-3911.",7467 x 150 ft. / 2276 x 46 m,hangars and tiedowns,3009 x 50 ft. / 917 x 15 m,Publicly-owned,Runway 18/36
ODO,"31-55-17.0946N 102-23-13.6783W
31-55.284910N 102-23.227972W
31.9214152,-102.3871329
(estimated)",3003.6 ft. / 915.5 m (surveyed),08E (2000),"5 miles NE of ODESSA, TX",UTC -6 (UTC -5 during Daylight Saving Time),79765,Open to the public,11/1945,no,FORT WORTH CENTER,SAN ANGELO FLIGHT SERVICE STATION,0600-2000,"100LL JET-A
100LL:FOR FUEL AFT HRS CALL 432-367-5881 OR SELF SERVE",,6200 x 100 ft. / 1890 x 30 m,5703 x 75 ft. / 1738 x 23 m,Runway 11/29
OGD,"41-11-42.2533N 112-00-43.9010W
41-11.704222N 112-00.731683W
41.1950704,-112.0121947
(estimated)",4472.5 ft. / 1363.2 m (surveyed),11E (2020),"3 miles SW of OGDEN, UT",UTC -7 (UTC -6 during Daylight Saving Time),84067,Open to the public,12/1941,yes,SALT LAKE CITY CENTER,CEDAR CITY FLIGHT SERVICE STATION,"CONTINUOUS
ARPT SFC COND UNMON 2000-0700.",8107 x 150 ft. / 2471 x 46 m,hangars and tiedowns,5195 x 100 ft. / 1583 x 30 m,Publicly-owned,Runway 3/21
OGG,"20-53-55.1350N 156-25-49.6510W
20-53.918917N 156-25.827517W
20.8986486,-156.4304586
(estimated)",55.4 ft. / 16.9 m (surveyed),11E (1990),"3 miles E of KAHULUI, HI",UTC -10 (year round; does not observe DST),96732,Open to the public,10/1946,yes,HONOLULU CONTROL FACILITY CENTER,HONOLULU FLIGHT SERVICE STATION,CONTINUOUS,"100 JET-A
100:JET A FUEL AVBL 0700-1800, OTHER TIMES BY PRIOR ARRANGEMENT WITH FBO 24 HRS, (808) 871-5572, OR (808) 873-6060. 100 OCTANE FUEL AVBL 24 HOURS SELF-SERVICE.",,6998 x 150 ft. / 2133 x 46 m,4980 x 150 ft. / 1518 x 46 m,Runway 2/20
OKC,"35-23-35.0665N 097-36-02.7422W
35-23.584442N 097-36.045703W
35.3930740,-97.6007617
(estimated)",1295.8 ft. / 395.0 m (surveyed),04E (2020),"6 miles SW of OKLAHOMA CITY, OK",UTC -6 (UTC -5 during Daylight Saving Time),73179,Open to the public,12/1938,yes,FORT WORTH CENTER,MC ALESTER FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,9803 x 150 ft. / 2988 x 46 m,9801 x 150 ft. / 2987 x 46 m,Runway 17L/35R
OLM,"46-58-09.8560N 122-54-09.1610W
46-58.164267N 122-54.152683W
46.9694044,-122.9025447
(estimated)",207.8 ft. / 63 m (estimated),15E (2020),"4 miles S of OLYMPIA, WA",UTC -8 (UTC -7 during Daylight Saving Time),98501,Open to the public,12/1937,yes,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,0800-1800,5500 x 150 ft. / 1676 x 46 m,hangars and tiedowns,4157 x 150 ft. / 1267 x 46 m,Publicly-owned,Runway 17/35
OLS,"31-25-03.8000N 110-50-52.4000W
31-25.063333N 110-50.873333W
31.4177222,-110.8478889
(estimated)",3955.3 ft. / 1205.6 m (surveyed),12E (1980),"7 miles NE of NOGALES, AZ",UTC -7 (year round; does not observe DST),85621,Open to the public,04/1940,no,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,0700-1900,7200 x 100 ft. / 2195 x 30 m,hangars and tiedowns,97 x 97 ft. / 30 x 30 m,Publicly-owned,Runway 3/21
OMA,"41-18-11.4000N 095-53-38.6000W
41-18.190000N 095-53.643333W
41.3031667,-95.8940556
(estimated)",984.5 ft. / 300.1 m (surveyed),02E (2020),"3 miles NE of OMAHA, NE",UTC -6 (UTC -5 during Daylight Saving Time),68110,Open to the public,04/1940,yes,MINNEAPOLIS CENTER,COLUMBUS FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A+,,9502 x 150 ft. / 2896 x 46 m,8500 x 150 ft. / 2591 x 46 m,Runway 14R/32L
OME,"64-30-45.2000N 165-26-39.8000W
64-30.753333N 165-26.663333W
64.5125556,-165.4443889
(estimated)",40.6 ft. / 12.4 m (surveyed),11E (2015),"2 miles W of NOME, AK",UTC -9 (UTC -8 during Daylight Saving Time),99762,Open to the public,no,ANCHORAGE CENTER,NOME FLIGHT SERVICE STATION (on field) [ 443-2291 (local call from the AIRPORT)],FAI FAIRBANKS FLIGHT SERVICE STATION [1-866-248-6516],0700-2100,"100LL JET-A JET-A1+
100LL:FUEL HRS VARY DURING YEAR. CALL OUT AVBL AFT HRS.",,6176 x 150 ft. / 1882 x 46 m,6009 x 150 ft. / 1832 x 46 m,Runway 3/21
ONO,"44-01-09.7000N 117-00-46.9000W
44-01.161667N 117-00.781667W
44.0193611,-117.0130278
(estimated)",2193.3 ft. / 668.5 m (surveyed),13E (2020),"3 miles W of ONTARIO, OR",UTC -8 (UTC -7 during Daylight Saving Time),97914,Open to the public,05/1947,no,SALT LAKE CITY CENTER,MC MINNVILLE FLIGHT SERVICE STATION,0800-1700,Publicly-owned,"asphalt, in fair condition",  ,RWY 15 DESIGNATED AS CALM WINDS RWY,Runway 15/33
ONP,"44-34-49.3000N 124-03-28.5000W
44-34.821667N 124-03.475000W
44.5803611,-124.0579167
(estimated)",160.1 ft. / 48.8 m (surveyed),15E (2020),"3 miles S of NEWPORT, OR",UTC -8 (UTC -7 during Daylight Saving Time),97366,Open to the public,03/1945,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,0800-1700,"100LL JET-A
100LL:FOR FUEL AFT HRS CALL 541-867-7422 OR 541-530-1364.",,5398 x 100 ft. / 1645 x 30 m,3001 x 75 ft. / 915 x 23 m,Runway 16/34
ONT,"34-03-21.6510N 117-36-04.2750W
34-03.360850N 117-36.071250W
34.0560142,-117.6011875
(estimated)",944.1 ft. / 287.8 m (surveyed),12E (2020),"2 miles E of ONTARIO, CA",UTC -8 (UTC -7 during Daylight Saving Time),91761,Open to the public,04/1940,yes,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,12197 x 150 ft. / 3718 x 46 m,10200 x 150 ft. / 3109 x 46 m,Runway 8L/26R
OPN,"32-57-18.0092N 084-15-50.7103W
32-57.300153N 084-15.845172W
32.9550026,-84.2640862
(estimated)",797.7 ft. / 243.1 m (surveyed),03W (1995),"5 miles NE of THOMASTON, GA",UTC -5 (UTC -4 during Daylight Saving Time),30286,Open to the public,07/1994,no,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,"0800-1800
FOR AFT HRS SVC CALL 706-741-0562.",6350 x 100 ft. / 1935 x 30 m,tiedowns,Publicly-owned,  ,Runway 12/30
ORL,"28-32-43.6620N 081-19-58.5480W
28-32.727700N 081-19.975800W
28.5454617,-81.3329300
(estimated)",112.6 ft. / 34.3 m (surveyed),06W (2015),"3 miles E of ORLANDO, FL",UTC -5 (UTC -4 during Daylight Saving Time),32807,Open to the public,04/1940,yes,JACKSONVILLE CENTER,SAINT PETERSBURG FLIGHT SERVICE STATION,CONTINUOUS,6004 x 150 ft. / 1830 x 46 m,hangars and tiedowns,4625 x 100 ft. / 1410 x 30 m,Publicly-owned,Runway 7/25
OSC,"44-27-05.5000N 083-23-39.0000W
44-27.091667N 083-23.650000W
44.4515278,-83.3941667
(estimated)",633.1 ft. / 193.0 m (surveyed),07W (2005),"3 miles NW of OSCODA, MI",UTC -5 (UTC -4 during Daylight Saving Time),48750,Open to the public,11/1993,no,MINNEAPOLIS CENTER,LANSING FLIGHT SERVICE STATION,"SAT-SUN ON CALL, ALL MON-FRI 0800-1700
FOR SVC WKENDS CALL FBO AT 989-739-8486.",11800 x 200 ft. / 3597 x 61 m,hangars and tiedowns,Publicly-owned,  ,Runway 7/25
OTH,"43-25-01.0000N 124-14-49.3000W
43-25.016667N 124-14.821667W
43.4169444,-124.2470278
(estimated)",17.4 ft. / 5.3 m (surveyed),15E (2020),"1 mile NW of NORTH BEND, OR",UTC -8 (UTC -7 during Daylight Saving Time),97459,Open to the public,01/1940,yes,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"0500-2100
SVC AVBL 0800-1700, FOR SVC AFT HRS CALL (541) 756-5181.",100LL JET-A,,5980 x 150 ft. / 1823 x 46 m,4470 x 150 ft. / 1362 x 46 m,Runway 5/23
