airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway,airport_operations,airport_operations1
48A,"32-24-02.3690N 083-16-42.2630W
32-24.039483N 083-16.704383W
32.4006581,-83.2784064
(estimated)",377.4 ft. / 115.0 m (surveyed),03W (1985),"4 miles E of COCHRAN, GA",UTC -5 (UTC -4 during Daylight Saving Time),31014,Open to the public,05/1941,no,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,MON-SAT 0800-1200,"100LL JET-A+
100LL:24HR FUEL SELF SERV W/MAJOR CREDIT CARD.",,4400 x 75 ft. / 1341 x 23 m,3202 x 50 ft. / 976 x 15 m,Runway 11/29,"['- ', '4 FT FENCE, 40 FT FROM RY EDGE ALONG NE SIDE OF RY.']","['Aircraft based on the field:', ' ', '17', 'Single engine airplanes:', ' ', '17']"
4S2,"45-40-21.9964N 121-32-01.9099W
45-40.366607N 121-32.031832W
45.6727768,-121.5338639
(estimated)",638 ft. / 194.5 m (surveyed),19E (1985),"2 miles S of HOOD RIVER, OR",UTC -8 (UTC -7 during Daylight Saving Time),97031,Open to the public,08/1945,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"NOV-APR 0800-1700, MAY-OCT 0800-1800",3040 x 75 ft. / 927 x 23 m,tiedowns,Publicly-owned,  ,Runway 7/25,"['- ', 'FOR CD CTC SEATTLE ARTCC AT 253-351-3694.']","['Aircraft based on the field:', ' ', '98', 'Single engine airplanes:', ' ', '78', 'Multi engine airplanes:', ' ', '9', 'Jet airplanes:', ' ', '2', 'Helicopters:', ' ', '7', 'Gliders airplanes:', ' ', '2']"
65S,"48-43-33.5000N 116-17-42.6000W
48-43.558333N 116-17.710000W
48.7259722,-116.2951667
(estimated)",2337.1 ft. / 712.3 m (surveyed),16E (2010),"2 miles NE of BONNERS FERRY, ID",UTC -8 (UTC -7 during Daylight Saving Time),83805,Open to the public,09/1948,no,SEATTLE CENTER,BOISE FLIGHT SERVICE STATION,"MON-FRI 0800-1700, ALL SAT 0800-1600",4002 x 75 ft. / 1220 x 23 m,hangars and tiedowns,Publicly-owned,  ,Runway 2/20,"['- ', 'FOR CD WHEN RCO 120.1 OTS CTC EVANSVILLE APCH AT 812-436-4689, WHEN APCH CLSD CTC INDIANAPOLIS ARTCC AT 317-247-2411.']","['Aircraft based on the field:', ' ', '91', 'Single engine airplanes:', ' ', '88', 'Multi engine airplanes:', ' ', '2', 'Gliders airplanes:', ' ', '1']"
6A8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"['- ', 'BE ALERT ARPT SITUATED IN CUT-OFF OF NAS WHITING CASS C AIRSPACE LOCATED 1400 FT OVERHEAD WITHIN 1 MILE FROM THE CENTER OF THE ARPT ON THREE SIDES TO THE EAST, NORTH, AND WEST FROM SURFACE TO 4200 FT.']","['Aircraft based on the field:', ' ', '1', 'Single engine airplanes:', ' ', '1']"
6K4,"36-17-28.3000N 098-28-32.9000W
36-17.471667N 098-28.548333W
36.2911944,-98.4758056
(estimated)",1273.8 ft. / 388.3 m (surveyed),04E (2020),"1 mile N of FAIRVIEW, OK",UTC -6 (UTC -5 during Daylight Saving Time),73737,Open to the public,03/1948,no,KANSAS CITY CENTER,MC ALESTER FLIGHT SERVICE STATION,MON-SAT DAYLIGHT HOURS,4400 x 75 ft. / 1341 x 23 m,tiedowns,Publicly-owned,  ,Runway 17/35,"['- ', 'GCO AVBL ON FREQ 121.725 THRU PENSACOLA APCH.']","['Aircraft based on the field:', ' ', '128', 'Single engine airplanes:', ' ', '62', 'Multi engine airplanes:', ' ', '29', 'Jet airplanes:', ' ', '35', 'Helicopters:', ' ', '1', 'Military aircraft:', ' ', '1']"
6K8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"['- ', 'INTENSIVE FLIGHT TRAINING INVOF ARPT.']","['Aircraft based on the field:', ' ', '10', 'Single engine airplanes:', ' ', '3', 'Multi engine airplanes:', ' ', '2', 'Jet airplanes:', ' ', '5']"
6S0,"45-48-23.3181N 109-58-41.7237W
45-48.388635N 109-58.695395W
45.8064773,-109.9782566
(estimated)",4493.9 ft. / 1369.7 m (surveyed),11E (2020),"3 miles SW of BIG TIMBER, MT",UTC -7 (UTC -6 during Daylight Saving Time),59011,Open to the public,05/1941,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,"MON-FRI 0800-1700, ALL SAT-SUN ON CALL
FOR ATTENDANT SAT & SUN CALL 406-932-4389.",5285 x 75 ft. / 1611 x 23 m,tiedowns,3475 x 75 ft. / 1059 x 23 m,Publicly-owned,Runway 6/24,"['- ', 'LIMITED PARKING ON WEST RAMP FOR TRANSIENT ACFT URGED TO BRING TIE-DOWN ROPES FOR EAST RAMP PARKING.']","['Aircraft based on the field:', ' ', '26', 'Single engine airplanes:', ' ', '20', 'Multi engine airplanes:', ' ', '6']"
6S3,"45-37-49.8860N 109-14-21.1740W
45-37.831433N 109-14.352900W
45.6305239,-109.2392150
(estimated)",3577.6 ft. / 1090.5 m (surveyed),15E (1985),UTC -7 (UTC -6 during Daylight Saving Time),59019,nan,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,MON-FRI 0800-1700,3800 x 75 ft. / 1158 x 23 m,tiedowns,Publicly-owned,  ,Runway 10/28,"['- ', 'FOR CD IF UNA VIA GCO CTC JACKSONVILLE ARTCC AT 904-845-1592.']","['Aircraft based on the field:', ' ', '95', 'Single engine airplanes:', ' ', '66', 'Multi engine airplanes:', ' ', '10', 'Jet airplanes:', ' ', '13', 'Helicopters:', ' ', '5', 'Gliders airplanes:', ' ', '1']"
6S5,"46-15-25.7972N 114-07-25.8352W
46-15.429953N 114-07.430587W
46.2571659,-114.1238431
(estimated)",3635.6 ft. / 1108.1 m (surveyed),13E (2025),"1 mile E of HAMILTON, MT",UTC -7 (UTC -6 during Daylight Saving Time),59840,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,0800-1700,5200 x 75 ft. / 1585 x 23 m,hangars and tiedowns,Publicly-owned,  ,Runway 17/35,"['- ', 'SN REMOVAL INTMT CHK WITH MGR FOR CURRENT CONDS CELL 406-369-5502.']","['Aircraft based on the field:', ' ', '16', 'Single engine airplanes:', ' ', '13', 'Jet airplanes:', ' ', '3']"
74S,"48-29-54.6250N 122-39-44.8850W
48-29.910417N 122-39.748083W
48.4985069,-122.6624681
(estimated)",246.1 ft. / 75.0 m (surveyed),21E (1985),"2 miles W of ANACORTES, WA",UTC -8 (UTC -7 during Daylight Saving Time),98221,Open to the public,12/1970,no,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,UNATNDD,100 JET-A,,3018 x 60 ft. / 920 x 18 m,Publicly-owned,Runway 18/36,"['- ', 'PATTERN ALT 800 AGL-CALM WIND; RY 12 (UPHILL) FOR LANDING; RY 30 (DOWNHILL) FOR TAKEOFF.']","['Aircraft based on the field:', ' ', '114', 'Single engine airplanes:', ' ', '104', 'Multi engine airplanes:', ' ', '7', 'Helicopters:', ' ', '2', 'Gliders airplanes:', ' ', '1']"
77S,"43-55-50.7000N 123-00-24.0000W
43-55.845000N 123-00.400000W
43.9307500,-123.0066667
(estimated)",541.2 ft. / 165.0 m (surveyed),15E (2020),"1 mile NE of CRESWELL, OR",UTC -8 (UTC -7 during Daylight Saving Time),97426,Open to the public,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,MMV (NOTAM-D service available),1406.2 ft. MSL,3102 x 60 ft. / 945 x 18 m,tiedowns,Publicly-owned,  ,Runway 16/34,"['- ', 'CREW CAR AVAILABLE.']","['Aircraft based on the field:', ' ', '6', 'Single engine airplanes:', ' ', '4', 'Multi engine airplanes:', ' ', '1', 'Jet airplanes:', ' ', '1']"
7AK,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"['- ', 'FOR CD CTC SPOKANE APCH AT 509-742-2522, WHEN APCH CLSD CTC SALT LAKE ARTCC AT 801-320-2568']","['Aircraft based on the field:', ' ', '243', 'Single engine airplanes:', ' ', '185', 'Multi engine airplanes:', ' ', '17', 'Jet airplanes:', ' ', '9', 'Helicopters:', ' ', '23', 'Gliders airplanes:', ' ', '9']"
7S0,"47-34-01.8000N 114-06-03.9000W
47-34.030000N 114-06.065000W
47.5671667,-114.1010833
(estimated)",3086 ft. / 940.6 m (surveyed),15E (2005),"3 miles N of RONAN, MT",UTC -7 (UTC -6 during Daylight Saving Time),59864,Open to the public,11/1952,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,UNATNDD,"100LL JET-A+
100LL:FUEL AVBL 24 HRS VIA SELF SERVE CREDIT CARD SVC.",,4798 x 75 ft. / 1462 x 23 m,Publicly-owned,Runway 16/34,"['A55-31 ', ""+28' TREES 250' LEFT OF RWY CNTRLN EXTENDED.""]","['Aircraft based on the field:', ' ', '70', 'Single engine airplanes:', ' ', '66', 'Multi engine airplanes:', ' ', '2', 'Helicopters:', ' ', '2']"
88AZ,"33-38-27.2700N 111-03-24.9000W
33-38.454500N 111-03.415000W
33.6409083,-111.0569167
(estimated)",2329 ft. / 710 m (estimated),11E (2015),"5 miles SE of ROOSEVELT, AZ",UTC -7 (year round; does not observe DST),85545,Private use. Permission required prior to landing,11/2016,no,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,yes,3800 x 40 ft. / 1158 x 12 m,nan,Publicly-owned,"USE AT PILOTS OWN RISK, NO TRAINING OR TOUCH AND GOES PERMITED.",Runway 17/35,"['- ', 'SINGLE WHEEL APRON WEIGHT BEARING CAPACITY 30,000 LBS FOR SW APRON, 50,000 LBS FOR NE APRON, TWY TO NE APRON 50,000 LBS.']","['Aircraft based on the field:', ' ', '217', 'Single engine airplanes:', ' ', '195', 'Multi engine airplanes:', ' ', '10', 'Helicopters:', ' ', '12']"
8S0,"48-36-03.6000N 113-06-55.1000W
48-36.060000N 113-06.918333W
48.6010000,-113.1153056
(estimated)",4656.5 ft. / 1419.3 m (surveyed),18E (1985),"5 miles NW of BROWNING, MT",UTC -7 (UTC -6 during Daylight Saving Time),59417,Open to the public,10/1961,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,UNATNDD,4051 x 74 ft. / 1235 x 23 m,NONE,Publicly-owned,  ,Runway 6/24,"['- ', 'FOR CD CTC SALT LAKE ARTCC AT 801-320-2568.']","['Aircraft based on the field:', ' ', '45', 'Single engine airplanes:', ' ', '38', 'Multi engine airplanes:', ' ', '5', 'Jet airplanes:', ' ', '2']"
8S1,"47-41-43.6000N 114-11-07.0000W
47-41.726667N 114-11.116667W
47.6954444,-114.1852778
(estimated)",2940.8 ft. / 896.4 m (surveyed),17E (2000),"1 mile W of POLSON, MT",UTC -7 (UTC -6 during Daylight Saving Time),59860,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,0800-1700,"100LL JET-A+
100LL:24 HR. SELF SERVICE FUEL AVAILIBLE.",,4194 x 75 ft. / 1278 x 23 m,4000 x 500 ft. / 1219 x 152 m,Runway 18/36,"['- ', 'COLD TEMPERATURE AIRPORT. ALTITUDE CORRECTION REQUIRED AT OR BELOW -23C.']","['Aircraft based on the field:', ' ', '32', 'Single engine airplanes:', ' ', '27', 'Multi engine airplanes:', ' ', '2', 'Jet airplanes:', ' ', '1', 'Helicopters:', ' ', '2']"
9A3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"['A30A-31 ', 'RWY 13/31 FENCES, BLDGS & TREES WI 150 FT N & S OF CNTRLN.']","['Aircraft based on the field:', ' ', '383', 'Single engine airplanes:', ' ', '301', 'Multi engine airplanes:', ' ', '35', 'Jet airplanes:', ' ', '24', 'Helicopters:', ' ', '22', 'Gliders airplanes:', ' ', '1']"
AAO,"37-44-51.2670N 097-13-16.0240W
37-44.854450N 097-13.267067W
37.7475742,-97.2211178
(estimated)",1420.8 ft. / 433.1 m (surveyed),06E (2000),"9 miles NE of WICHITA, KS",UTC -6 (UTC -5 during Daylight Saving Time),67226,Open to the public,07/1944,no,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,CONTINUOUS,6101 x 100 ft. / 1860 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 18/36,"['- ', 'ARPT CLSD NGTS']","['Aircraft based on the field:', ' ', '285', 'Single engine airplanes:', ' ', '199', 'Multi engine airplanes:', ' ', '36', 'Jet airplanes:', ' ', '20', 'Helicopters:', ' ', '17', 'Gliders airplanes:', ' ', '5', 'Ultralights:', ' ', '8']"
ABI,"32-24-40.8000N 099-40-54.8000W
32-24.680000N 099-40.913333W
32.4113333,-99.6818889
(estimated)",1790.6 ft. / 545.8 m (surveyed),05E (2020),"3 miles SE of ABILENE, TX",UTC -6 (UTC -5 during Daylight Saving Time),79602,Open to the public,11/1953,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A1+,,7208 x 150 ft. / 2197 x 46 m,7198 x 150 ft. / 2194 x 46 m,Runway 17R/35L,"['- ', 'AVOID LOW LEVEL FLT OVER CITY OR EAST OF RWY,']","['Aircraft based on the field:', ' ', '1', 'Single engine airplanes:', ' ', '1']"
ABQ,"35-02-20.1536N 106-36-29.7438W
35-02.335893N 106-36.495730W
35.0389316,-106.6082622
(estimated)",5354.9 ft. / 1632.2 m (surveyed),11E (1995),"3 miles SE of ALBUQUERQUE, NM",UTC -7 (UTC -6 during Daylight Saving Time),87106,Open to the public,11/1938,yes,ALBUQUERQUE CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A1 JET-A1+,,13793 x 150 ft. / 4204 x 46 m,10000 x 150 ft. / 3048 x 46 m,Runway 8/26,"['- ', 'NOISE SENS ARPT WX PMTG LND RWY 13 TKOF RWY 31 FOR NOISE ABATEMENT; DUE TO THE PROXIMITY OF THE TOWN OF ALPINE & ARPT HOUSING; TOUCH & GOES ARE PROHIBITED.']","['Aircraft based on the field:', ' ', '1', 'Single engine airplanes:', ' ', '1']"
ABR,"45-26-48.4730N 098-25-20.7870W
45-26.807883N 098-25.346450W
45.4467981,-98.4224408
(estimated)",1301.9 ft. / 396.8 m (surveyed),07E (2000),"2 miles E of ABERDEEN, SD",UTC -6 (UTC -5 during Daylight Saving Time),57401,Open to the public,12/1937,no,MINNEAPOLIS CENTER,HURON FLIGHT SERVICE STATION,"MON-FRI 0330-2400L
FOR SVCS AFTER HRS CALL (605) 225-1384/8008 OR (605)725-4774",100LL JET-A,,6901 x 100 ft. / 2103 x 30 m,5500 x 100 ft. / 1676 x 30 m,Runway 13/31,"['- ', 'RESIDENTIAL TWYS ESTAB THEIR OWN WT LMTS & RQR APVL PRIOR TO USE.']","['Aircraft based on the field:', ' ', '67', 'Single engine airplanes:', ' ', '51', 'Multi engine airplanes:', ' ', '10', 'Jet airplanes:', ' ', '2', 'Helicopters:', ' ', '2', 'Gliders airplanes:', ' ', '2']"
ACT,"31-36-43.9000N 097-13-49.1000W
31-36.731667N 097-13.818333W
31.6121944,-97.2303056
(estimated)",516.1 ft. / 157.3 m (surveyed),07E (1985),"5 miles NW of WACO, TX",UTC -6 (UTC -5 during Daylight Saving Time),76708,Open to the public,07/1943,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,0430-2400,100LL JET-A UL94,,7107 x 150 ft. / 2166 x 46 m,5103 x 150 ft. / 1555 x 46 m,Runway 1/19,"['- ', 'FOR CD CTC SALT LAKE ARTCC AT 801-320-2568.']","['Aircraft based on the field:', ' ', '27', 'Single engine airplanes:', ' ', '9', 'Multi engine airplanes:', ' ', '6', 'Jet airplanes:', ' ', '11', 'Helicopters:', ' ', '1']"
ACV,"40-58-40.1750N 124-06-30.4890W
40-58.669583N 124-06.508150W
40.9778264,-124.1084692
(estimated)",222.3 ft. / 67.8 m (surveyed),17E (1985),7 miles N of central business district of the associated city,UTC -8 (UTC -7 during Daylight Saving Time),95519,Open to the public,03/1943,no,SEATTLE CENTER,OAKLAND FLIGHT SERVICE STATION,ALL 0400-2359,6046 x 150 ft. / 1843 x 46 m,tiedowns,4501 x 150 ft. / 1372 x 46 m,Publicly-owned,Runway 14/32,"['- ', 'TSNT TFC MUST CTC THE AMGR FOR INFO ON UNIQUE LCL FLYING OPNS BFR USING THE ARPT.']","['Aircraft based on the field:', ' ', '16', 'Single engine airplanes:', ' ', '12', 'Multi engine airplanes:', ' ', '1', 'Gliders airplanes:', ' ', '1', 'Ultralights:', ' ', '2']"
ACY,"39-27-27.3000N 074-34-37.8000W
39-27.455000N 074-34.630000W
39.4575833,-74.5771667
(estimated)",74.8 ft. / 22.8 m (surveyed),10W (1965),"9 miles NW of ATLANTIC CITY, NJ",UTC -5 (UTC -4 during Daylight Saving Time),8234,Open to the public,06/1943,yes,WASHINGTON CENTER,MILLVILLE FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A++,,10000 x 150 ft. / 3048 x 46 m,6144 x 150 ft. / 1873 x 46 m,Runway 13/31,"['- ', 'VOLUNTARY CURFEW DUSK TO DAWN. NGT LDGS LMTD TO AIRPARK RESIDENTS ONLY. NGT TIME LDGS AND TKFS NOT ADVS TO PILOTS UNFAMILIAR WITH TRRN. WILDLIFE ON AND INVOF OF ARPT. BIRD/WATERFOWL HAZ.']","['Aircraft based on the field:', ' ', '108', 'Single engine airplanes:', ' ', '82', 'Multi engine airplanes:', ' ', '7', 'Jet airplanes:', ' ', '2', 'Helicopters:', ' ', '5', 'Gliders airplanes:', ' ', '10', 'Ultralights:', ' ', '2']"
ADH,"34-48-15.3431N 096-40-16.3191W
34-48.255718N 096-40.271985W
34.8042620,-96.6711997
(estimated)",1015.9 ft. / 309.6 m (surveyed),03E (2020),"2 miles N of ADA, OK",UTC -6 (UTC -5 during Daylight Saving Time),74820,Open to the public,01/1943,no,FORT WORTH CENTER,MC ALESTER FLIGHT SERVICE STATION,"MON-SAT 0800-1700, ALL SUN 1200-1700",6203 x 100 ft. / 1891 x 30 m,hangars and tiedowns,2717 x 50 ft. / 828 x 15 m,40 x 40 ft. / 12 x 12 m,Runway 18/36,"['- ', 'FOR RWY COND IN WINTER CTC - AMGR.']","['Aircraft based on the field:', ' ', '118', 'Single engine airplanes:', ' ', '97', 'Multi engine airplanes:', ' ', '15', 'Helicopters:', ' ', '5', 'Gliders airplanes:', ' ', '1']"
ADK,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"['- ', 'VRB RWY COND AND BA WINTER MOS. SNBNK ALG RWY & TWY EDGES POSS FALL, WINT, SPRING MOS. TREACHEROUS MTN TERR IN CLOSE PROXIMITY ALL QUADS OF RWY.']","['Aircraft based on the field:', ' ', '89', 'Single engine airplanes:', ' ', '48', 'Multi engine airplanes:', ' ', '2', 'Jet airplanes:', ' ', '22', 'Helicopters:', ' ', '13', 'Gliders airplanes:', ' ', '4']"
