airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
IAH,"29-59-03.9670N 095-20-29.1930W
29-59.066117N 095-20.486550W
29.9844353,-95.3414425
(estimated)",95.8 ft. / 29.2 m (surveyed),03E (2015),"15 miles N of HOUSTON, TX",UTC -6 (UTC -5 during Daylight Saving Time),77396,Open to the public,01/1963,yes,HOUSTON CENTER,MONTGOMERY COUNTY FLIGHT SERVICE STATION,CONTINUOUS,12001 x 150 ft. / 3658 x 46 m,hangars and tiedowns,10000 x 150 ft. / 3048 x 46 m,10000 x 150 ft. / 3048 x 46 m,Runway 15L/33R
ICT,"37-38-59.8290N 097-25-58.9540W
37-38.997150N 097-25.982567W
37.6499525,-97.4330428
(estimated)",1332.6 ft. / 406.2 m (surveyed),04E (2015),"5 miles SW of WICHITA, KS",UTC -6 (UTC -5 during Daylight Saving Time),67209,Open to the public,04/1953,yes,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,10302 x 150 ft. / 3140 x 46 m,7302 x 150 ft. / 2226 x 46 m,Runway 1L/19R
IDA,"43-30-49.2240N 112-04-14.9530W
43-30.820400N 112-04.249217W
43.5136733,-112.0708203
(estimated)",4743.7 ft. / 1445.9 m (surveyed),12E (2020),"2 miles NW of IDAHO FALLS, ID",UTC -7 (UTC -6 during Daylight Saving Time),83402,Open to the public,04/1940,yes,SALT LAKE CITY CENTER,BOISE FLIGHT SERVICE STATION,"0530-2130
ON CALL 24 HRS PHONE 208-390-8746 OR 208-390-3624.",9002 x 150 ft. / 2744 x 46 m,hangars and tiedowns,3964 x 75 ft. / 1208 x 23 m,Publicly-owned,Runway 3/21
IFP,"35-09-16.6120N 114-33-33.5960W
35-09.276867N 114-33.559933W
35.1546144,-114.5593322
(estimated)",707.1 ft. / 215.5 m (surveyed),12E (2005),"1 mile N of BULLHEAD CITY, AZ",UTC -7 (year round; does not observe DST),86429,Open to the public,yes,LOS ANGELES CENTER,PRESCOTT FLIGHT SERVICE STATION,IFP (NOTAM-D service available),lighted,8501 x 150 ft. / 2591 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 16/34
IGM,"35-15-34.1210N 113-56-16.9810W
35-15.568683N 113-56.283017W
35.2594781,-113.9380503
(estimated)",3448.8 ft. / 1051.2 m (surveyed),12E (2010),"8 miles NE of KINGMAN, AZ",UTC -7 (year round; does not observe DST),86401,Open to the public,09/1943,no,LOS ANGELES CENTER,PRESCOTT FLIGHT SERVICE STATION,"MON-FRI 0600-1600, ALL SAT-SUN 0600-1400",6827 x 150 ft. / 2081 x 46 m,tiedowns,6725 x 75 ft. / 2050 x 23 m,Publicly-owned,Runway 3/21
IND,"39-43-02.3000N 086-17-40.7000W
39-43.038333N 086-17.678333W
39.7173056,-86.2946389
(estimated)",796.2 ft. / 242.7 m (surveyed),05W (2015),"7 miles SW of INDIANAPOLIS, IN",UTC -5 (UTC -4 during Daylight Saving Time),46241,Open to the public,04/1940,yes,INDIANAPOLIS CENTER,TERRE HAUTE FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A1+,,11200 x 150 ft. / 3414 x 46 m,10000 x 150 ft. / 3048 x 46 m,Runway 5L/23R
INL,"48-33-56.1160N 093-24-07.8450W
48-33.935267N 093-24.130750W
48.5655878,-93.4021792
(estimated)",1184.4 ft. / 361.0 m (surveyed),03E (1985),UTC -6 (UTC -5 during Daylight Saving Time),56649,nan,Open to the public,03/1942,no,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,"DAYLIGHT HOURS
FOR ATTENDANT 0000-0500 CALL 218-283-2712.",7400 x 150 ft. / 2256 x 46 m,hangars and tiedowns,2999 x 75 ft. / 914 x 23 m,Publicly-owned,Runway 13/31
INS,"36-35-10.8376N 115-40-38.5340W
36-35.180627N 115-40.642233W
36.5863438,-115.6773706
(estimated)",3134.1 ft. / 955.3 m (surveyed),15E (1980),"1 mile N of INDIAN SPRINGS, NV",UTC -8 (UTC -7 during Daylight Saving Time),89169,Private use. Permission required prior to landing,yes,LOS ANGELES CENTER,RENO FLIGHT SERVICE STATION,INS (NOTAM-D service available),yes,9002 x 150 ft. / 2744 x 46 m,hangars,5476 x 100 ft. / 1669 x 30 m,U.S. Air Force,Runway 8/26
INW,"35-01-18.8750N 110-43-21.0568W
35-01.314583N 110-43.350947W
35.0219097,-110.7225158
(estimated)",4941.1 ft. / 1506.0 m (surveyed),14E (1965),"1 mile W of WINSLOW, AZ",UTC -7 (year round; does not observe DST),86047,Open to the public,04/1940,no,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,"MON-FRI 0700-1800, ALL SAT-SUN 0800-1700
AFTER HRS SERVICE CALL 928-587-2630.",7499 x 150 ft. / 2286 x 46 m,hangars and tiedowns,7100 x 150 ft. / 2164 x 46 m,Publicly-owned,Runway 4/22
IOB,"38-03-29.3000N 083-58-46.5000W
38-03.488333N 083-58.775000W
38.0581389,-83.9795833
(estimated)",1019.3 ft. / 310.7 m (surveyed),06W (2015),"2 miles W of MOUNT STERLING, KY",UTC -5 (UTC -4 during Daylight Saving Time),40353,Open to the public,11/1964,no,INDIANAPOLIS CENTER,LOUISVILLE FLIGHT SERVICE STATION,"0800-1800
SVC AFT HR - AMGR OR 859-585-9936.","100LL JET-A+
100LL:FUEL AVBL 24/7 WITH CC.",,5000 x 75 ft. / 1524 x 23 m,Publicly-owned,Runway 3/21
IRK,"40-05-36.5000N 092-32-41.7000W
40-05.608333N 092-32.695000W
40.0934722,-92.5449167
(estimated)",966.3 ft. / 294.5 m (surveyed),03E (1990),"6 miles SE of KIRKSVILLE, MO",UTC -6 (UTC -5 during Daylight Saving Time),63501,Open to the public,05/1941,no,KANSAS CITY CENTER,COLUMBIA FLIGHT SERVICE STATION,0530-2000,6005 x 100 ft. / 1830 x 30 m,hangars and tiedowns,1370 x 100 ft. / 418 x 30 m,Publicly-owned,Runway 18/36
ISM,"28-17-23.3050N 081-26-13.4930W
28-17.388417N 081-26.224883W
28.2898069,-81.4370814
(estimated)",82.1 ft. / 25.0 m (surveyed),05W (2000),"16 miles SW of ORLANDO, FL",UTC -5 (UTC -4 during Daylight Saving Time),34741,Open to the public,04/1940,yes,JACKSONVILLE CENTER,SAINT PETERSBURG FLIGHT SERVICE STATION,0700-2200,6001 x 100 ft. / 1829 x 30 m,hangars and tiedowns,5001 x 100 ft. / 1524 x 30 m,Publicly-owned,Runway 15/33
ITH,"42-29-28.9000N 076-27-31.4000W
42-29.481667N 076-27.523333W
42.4913611,-76.4587222
(estimated)",1099 ft. / 335.0 m (surveyed),12W (1985),"3 miles NE of ITHACA, NY",UTC -5 (UTC -4 during Daylight Saving Time),14850,Open to the public,10/1947,yes,NEW YORK CENTER,BUFFALO FLIGHT SERVICE STATION,"0500-0000
FBO AVBL 0600-1900; FBO SVCS CTC 131.6; AFT HRS CALL 607-279-0392 OR 800-876-1551.",100LL JET-A,,6977 x 150 ft. / 2127 x 46 m,2018 x 50 ft. / 615 x 15 m,Runway 14/32
ITO,"19-43-12.9468N 155-02-54.4925W
19-43.215780N 155-02.908208W
19.7202630,-155.0484701
(estimated)",37.6 ft. / 11.5 m (surveyed),11E (1985),"2 miles E of HILO, HI",UTC -10 (year round; does not observe DST),96720,Open to the public,04/1938,yes,HONOLULU CONTROL FACILITY CENTER,HONOLULU FLIGHT SERVICE STATION,0700-2030,"100LL JET-A
100LL:FOR FUEL ADVANCE NOTICE REQUIRED, FOR 100LL CALL (808) 960-5146 OR CTC FREQ 128.95, FOR JET-A CALL (808) 934-7757 OR CTC FREQ 130.8.",,9800 x 150 ft. / 2987 x 46 m,5600 x 150 ft. / 1707 x 46 m,Runway 8/26
IWA,"33-18-28.1660N 111-39-19.6530W
33-18.469433N 111-39.327550W
33.3078239,-111.6554592
(estimated)",1384.1 ft. / 421.9 m (surveyed),13E (1980),"20 miles SE of PHOENIX, AZ",UTC -7 (year round; does not observe DST),85212,Open to the public,12/1993,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,CONTINUOUS,10401 x 150 ft. / 3170 x 46 m,hangars and tiedowns,"10201 x 150 ft. / 3109 x 46 m
RWY 12C FIRST 1000 FT CONC, RWY 30C FIRST 3500 FT CONC, REMAINING CENTER PORTION ASPH.",9300 x 150 ft. / 2835 x 46 m,Runway 12R/30L
JAC,"43-36-26.4000N 110-44-15.9000W
43-36.440000N 110-44.265000W
43.6073333,-110.7377500
(estimated)",6450.7 ft. / 1966.2 m (surveyed),13E (2005),"7 miles N of JACKSON, WY",UTC -7 (UTC -6 during Daylight Saving Time),83001,Open to the public,10/1941,yes,SALT LAKE CITY CENTER,CASPER FLIGHT SERVICE STATION,"0700-2130
ON CALL H24 PHONE 307-733-4767.",6300 x 150 ft. / 1920 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 1/19
JAN,"32-18-40.2000N 090-04-33.2000W
32-18.670000N 090-04.553333W
32.3111667,-90.0758889
(estimated)",346.4 ft. / 105.6 m (surveyed),01W (2020),"5 miles E of JACKSON, MS",UTC -6 (UTC -5 during Daylight Saving Time),39208,Open to the public,07/1963,yes,MEMPHIS CENTER,GREENWOOD FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A+,,8500 x 150 ft. / 2591 x 46 m,8500 x 150 ft. / 2591 x 46 m,Runway 16L/34R
JAX,"30-29-38.5640N 081-41-16.2480W
30-29.642733N 081-41.270800W
30.4940456,-81.6878467
(estimated)",29.6 ft. / 9.0 m (surveyed),06W (2010),"9 miles N of JACKSONVILLE, FL",UTC -5 (UTC -4 during Daylight Saving Time),32218,Open to the public,11/1968,yes,JACKSONVILLE CENTER,GAINESVILLE FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,10000 x 150 ft. / 3048 x 46 m,7701 x 150 ft. / 2347 x 46 m,Runway 8/26
JBR,"35-49-54.1600N 090-38-47.1190W
35-49.902667N 090-38.785317W
35.8317111,-90.6464219
(estimated)",262.1 ft. / 79.9 m (surveyed),00W (2015),"3 miles E of JONESBORO, AR",UTC -6 (UTC -5 during Daylight Saving Time),72401,Open to the public,04/1940,no,MEMPHIS CENTER,JONESBORO FLIGHT SERVICE STATION,"0600-2100
FOR SVC AFT HRS, CALL 870-935-1770.",100LL JET-A,,6200 x 150 ft. / 1890 x 46 m,4099 x 150 ft. / 1249 x 46 m,Runway 5/23
JER,"42-43-36.0600N 114-27-23.9300W
42-43.601000N 114-27.398833W
42.7266833,-114.4566472
(estimated)",4053.1 ft. / 1235.4 m (surveyed),14E (2010),"3 miles E of JEROME, ID",UTC -7 (UTC -6 during Daylight Saving Time),83338,Open to the public,05/1941,no,SALT LAKE CITY CENTER,BOISE FLIGHT SERVICE STATION,0800-1700,100LL JET-A JET-A+,,5002 x 75 ft. / 1525 x 23 m,Publicly-owned,Runway 9/27
JFZ,"37-03-49.4870N 081-47-53.7570W
37-03.824783N 081-47.895950W
37.0637464,-81.7982658
(estimated)",2653.1 ft. / 808.7 m (surveyed),06W (1995),"2 miles S of RICHLANDS, VA",UTC -5 (UTC -4 during Daylight Saving Time),24609,Open to the public,11/1991,no,ATLANTA CENTER,LEESBURG FLIGHT SERVICE STATION,"MON-SAT 0800-1700
UNATTENDED - NEW YEARS DAY, THANKSGIVING, & CHRISTMAS.
FOR SUNDAY SERVICE - CALL AIRPORT DURING REGULAR BUSINESS HOURS TO ARRANGE.",4299 x 75 ft. / 1310 x 23 m,tiedowns,Publicly-owned,  ,Runway 7/25
JMS,"46-55-47.0000N 098-40-41.5000W
46-55.783333N 098-40.691667W
46.9297222,-98.6781944
(estimated)",1499.9 ft. / 457.2 m (surveyed),04E (2020),"2 miles NE of JAMESTOWN, ND",UTC -6 (UTC -5 during Daylight Saving Time),58401,Open to the public,03/1938,no,MINNEAPOLIS CENTER,GRAND FORKS FLIGHT SERVICE STATION,MON-FRI 0800-1700,6502 x 100 ft. / 1982 x 30 m,hangars and tiedowns,5750 x 75 ft. / 1753 x 23 m,Publicly-owned,Runway 13/31
JNU,"58-21-16.9625N 134-34-42.4939W
58-21.282708N 134-34.708232W
58.3547118,-134.5784705
(estimated)",25.3 ft. / 8 m (estimated),20E (2015),"7 miles NW of JUNEAU, AK",UTC -9 (UTC -8 during Daylight Saving Time),99801,Open to the public,11/1941,yes,ANCHORAGE CENTER,"JUNEAU FLIGHT SERVICE STATION (on field) [907-586-7380]
CTC JUNEAU FSS FOR AIRPORT ADVISORY SERVICE ON 118.7 WHEN TOWER IS CLSD.",CONTINUOUS,"100LL JET-A1+
100LL:FUEL AVBL THRU ARPT SVCS ON UNICOM OR 907-789-0055 OR 907-789-5622.",,8857 x 150 ft. / 2700 x 46 m,4800 x 150 ft. / 1463 x 46 m,Runway 8/26
JQF,"35-23-15.9730N 080-42-32.8770W
35-23.266217N 080-42.547950W
35.3877703,-80.7091325
(estimated)",704.2 ft. / 214.6 m (surveyed),06W (1995),"7 miles W of CONCORD, NC",UTC -5 (UTC -4 during Daylight Saving Time),28075,Open to the public,11/1993,yes,ATLANTA CENTER,RALEIGH FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A1+,,7402 x 100 ft. / 2256 x 30 m,Publicly-owned,Runway 2/20
JTC,"34-07-45.9000N 109-18-39.1000W
34-07.765000N 109-18.651667W
34.1294167,-109.3108611
(estimated)",7055.2 ft. / 2150.4 m (surveyed),12E (1995),"1 mile WSW of SPRINGERVILLE, AZ",UTC -7 (year round; does not observe DST),85938,Open to the public,no,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,PRC (NOTAM-D service available),lighted,8422 x 75 ft. / 2567 x 23 m,hangars and tiedowns,4603 x 60 ft. / 1403 x 18 m,Publicly-owned,Runway 3/21
JWN,"36-10-58.8786N 086-53-11.3832W
36-10.981310N 086-53.189720W
36.1830218,-86.8864953
(estimated)",501 ft. / 152.7 m (surveyed),03W (2010),"1 mile NW of NASHVILLE, TN",UTC -6 (UTC -5 during Daylight Saving Time),37209,Open to the public,07/1986,yes,MEMPHIS CENTER,NASHVILLE FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A+,,6001 x 100 ft. / 1829 x 30 m,Publicly-owned,Runway 2/20
JYO,"39-04-40.7000N 077-33-27.0000W
39-04.678333N 077-33.450000W
39.0779722,-77.5575000
(estimated)",389.5 ft. / 118.7 m (surveyed),10W (1995),"3 miles S of LEESBURG, VA",UTC -5 (UTC -4 during Daylight Saving Time),20175,Open to the public,10/1964,yes,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,"0500-2000
FOR SVC AFT HRS CALL 703-889-8558.",100LL JET-A,,5500 x 100 ft. / 1676 x 30 m,Publicly-owned,Runway 17/35
JZI,"32-42-03.7000N 080-00-11.7000W
32-42.061667N 080-00.195000W
32.7010278,-80.0032500
(estimated)",18.6 ft. / 5.7 m (surveyed),05W (1985),"6 miles SW of CHARLESTON, SC",UTC -5 (UTC -4 during Daylight Saving Time),29455,Open to the public,04/1943,no,JACKSONVILLE CENTER,ANDERSON FLIGHT SERVICE STATION,0600-2200,100LL JET-A,,5350 x 100 ft. / 1631 x 30 m,4313 x 150 ft. / 1315 x 46 m,Runway 9/27
JZP,"34-27-12.5000N 084-27-26.0000W
34-27.208333N 084-27.433333W
34.4534722,-84.4572222
(estimated)",1535.1 ft. / 467.9 m (surveyed),04W (2000),"2 miles SW of JASPER, GA",UTC -5 (UTC -4 during Daylight Saving Time),30143,Open to the public,08/1975,no,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,0900-1800,100LL JET-A+,,5000 x 100 ft. / 1524 x 30 m,Publicly-owned,Runway 16/34
KTN,"55-21-14.7000N 131-42-40.4000W
55-21.245000N 131-42.673333W
55.3540833,-131.7112222
(estimated)",92.4 ft. / 28.2 m (surveyed),21E (2010),"1 mile W of KETCHIKAN, AK",UTC -9 (UTC -8 during Daylight Saving Time),99901,Open to the public,04/1973,no,ANCHORAGE CENTER,KETCHIKAN FLIGHT SERVICE STATION (on field) [907-225-9481],KTN (NOTAM-D service available),"100LL JET-A
100LL:FUEL AVBL SUMMER 0530-1930; WINTER 0630-2030 - 122.95 OR 907-531-9891.",,7500 x 150 ft. / 2286 x 46 m,9500 x 1500 ft. / 2896 x 457 m,Runway 11/29
KVC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
L35,"34-15-49.6000N 116-51-21.7000W
34-15.826667N 116-51.361667W
34.2637778,-116.8560278
(estimated)",6752.4 ft. / 2058.1 m (surveyed),14E (2000),UTC -8 (UTC -7 during Daylight Saving Time),92314,nan,Open to the public,03/1943,no,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,0800-1700,5850 x 75 ft. / 1783 x 23 m,tiedowns,Publicly-owned,  ,Runway 8/26
LAF,"40-24-44.3000N 086-56-12.8000W
40-24.738333N 086-56.213333W
40.4123056,-86.9368889
(estimated)",605.9 ft. / 184.7 m (surveyed),01W (1985),"2 miles SW of LAFAYETTE, IN",UTC -5 (UTC -4 during Daylight Saving Time),47906,Open to the public,04/1940,yes,CHICAGO CENTER,TERRE HAUTE FLIGHT SERVICE STATION,0600-2200,100LL JET-A,,6600 x 150 ft. / 2012 x 46 m,4225 x 100 ft. / 1288 x 30 m,Runway 10/28
LAL,"27-59-15.5000N 082-01-08.4000W
27-59.258333N 082-01.140000W
27.9876389,-82.0190000
(estimated)",141.8 ft. / 43.2 m (surveyed),06W (2025),"4 miles SW of LAKELAND, FL",UTC -5 (UTC -4 during Daylight Saving Time),33811,Open to the public,01/1943,yes,MIAMI CENTER,SAINT PETERSBURG FLIGHT SERVICE STATION,CONTINUOUS,8500 x 150 ft. / 2591 x 46 m,hangars,5000 x 150 ft. / 1524 x 46 m,2208 x 60 ft. / 673 x 18 m,Runway 10/28
LAN,"42-46-43.1000N 084-35-10.3000W
42-46.718333N 084-35.171667W
42.7786389,-84.5861944
(estimated)",860.8 ft. / 262.4 m (surveyed),05W (1985),"3 miles NW of LANSING, MI",UTC -5 (UTC -4 during Daylight Saving Time),48906,Open to the public,04/1940,yes,CLEVELAND CENTER,LANSING FLIGHT SERVICE STATION,CONTINUOUS,8506 x 150 ft. / 2593 x 46 m,hangars and tiedowns,5003 x 120 ft. / 1525 x 37 m,3601 x 75 ft. / 1098 x 23 m,Runway 10R/28L
LAR,"41-18-43.4000N 105-40-30.0000W
41-18.723333N 105-40.500000W
41.3120556,-105.6750000
(estimated)",7283.5 ft. / 2220.0 m (surveyed),13E (1980),"3 miles W of LARAMIE, WY",UTC -7 (UTC -6 during Daylight Saving Time),82070,Open to the public,10/1938,no,DENVER CENTER,CASPER FLIGHT SERVICE STATION,0500-2100,8502 x 150 ft. / 2591 x 46 m,hangars and tiedowns,6300 x 100 ft. / 1920 x 30 m,Publicly-owned,Runway 3/21
LAS,"36-04-48.1580N 115-09-08.0450W
36-04.802633N 115-09.134083W
36.0800439,-115.1522347
(estimated)",2181.2 ft. / 664.8 m (surveyed),11E (2020),"5 miles S of LAS VEGAS, NV",UTC -8 (UTC -7 during Daylight Saving Time),89119,Open to the public,01/1947,yes,LOS ANGELES CENTER,RENO FLIGHT SERVICE STATION,CONTINUOUS,14515 x 150 ft. / 4424 x 46 m,hangars and tiedowns,10526 x 150 ft. / 3208 x 46 m,9771 x 150 ft. / 2978 x 46 m,Runway 8L/26R
LAX,"33-56-32.9870N 118-24-28.9750W
33-56.549783N 118-24.482917W
33.9424964,-118.4080486
(estimated)",127.8 ft. / 39.0 m (surveyed),12E (2020),"9 miles SW of LOS ANGELES, CA",UTC -8 (UTC -7 during Daylight Saving Time),90009,Open to the public,04/1940,yes,LOS ANGELES CENTER,HAWTHORNE FLIGHT SERVICE STATION,CONTINUOUS,12923 x 150 ft. / 3939 x 46 m,tiedowns,11095 x 200 ft. / 3382 x 61 m,10885 x 150 ft. / 3318 x 46 m,Runway 7L/25R
LBB,"33-39-49.2000N 101-49-14.0000W
33-39.820000N 101-49.233333W
33.6636667,-101.8205556
(estimated)",3282.4 ft. / 1000.5 m (surveyed),06E (2020),"4 miles N of LUBBOCK, TX",UTC -6 (UTC -5 during Daylight Saving Time),79403,Open to the public,11/1937,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A1+,,11500 x 150 ft. / 3505 x 46 m,8003 x 150 ft. / 2439 x 46 m,Runway 17R/35L
LBF,"41-07-34.3660N 100-41-01.1510W
41-07.572767N 100-41.019183W
41.1262128,-100.6836531
(estimated)",2777 ft. / 846.4 m (surveyed),06E (2015),"3 miles E of NORTH PLATTE, NE",UTC -6 (UTC -5 during Daylight Saving Time),69101,Open to the public,no,DENVER CENTER,COLUMBUS FLIGHT SERVICE STATION,LBF (NOTAM-D service available),ALL CAT D ACFT (WITH SPDS OF 141-166 KTS) OPERATING ON RWY 12/30 MUST MNTN A TPA OF 1500 FT WHEN IN THE TFC PAT.,100LL JET-A,,8001 x 150 ft. / 2439 x 46 m,4436 x 100 ft. / 1352 x 30 m,Runway 12/30
LBL,"37-02-38.1160N 100-57-35.8870W
37-02.635267N 100-57.598117W
37.0439211,-100.9599686
(estimated)",2885.4 ft. / 879.5 m (surveyed),06E (2015),"2 miles W of LIBERAL, KS",UTC -6 (UTC -5 during Daylight Saving Time),67901,Open to the public,02/1944,no,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,"MON-FRI 0600-2000, ALL SAT-SUN 0700-2000",7105 x 100 ft. / 2166 x 30 m,hangars and tiedowns,5000 x 75 ft. / 1524 x 23 m,Publicly-owned,Runway 17/35
LCQ,"30-10-55.4000N 082-34-36.7000W
30-10.923333N 082-34.611667W
30.1820556,-82.5768611
(estimated)",200.7 ft. / 61.2 m (surveyed),03W (1990),"3 miles E of LAKE CITY, FL",UTC -5 (UTC -4 during Daylight Saving Time),32025,Open to the public,04/1940,yes,JACKSONVILLE CENTER,GAINESVILLE FLIGHT SERVICE STATION,"0800-1800
TWR ATNDD OTR TIMES BY NOTAM.",100LL JET-A,,8003 x 150 ft. / 2439 x 46 m,4000 x 75 ft. / 1219 x 23 m,Runway 10/28
