Site Id,Loc Id,ICAO Id,State Id,Sequence,Schedule
10010.02*H,65MI,,MI,1,UNATNDD
10010.04*H,08MI,,MI,1,ALL/ALL/ALL
10010.11*H,2MI7,,MI,1,UNATNDD
10010.*A,LAN,KLAN,MI,1,ALL/ALL/ALL
10013.*A,D95,,MI,3,ALL/ALL/0800-1700
10015.275*A,MI56,,MI,1,UNATNDD
10017.55*H,3MI5,,MI,1,UNATNDD
10022.11*A,MI55,,MI,1,UNATNDD
10022.1*A,8M8,,MI,1,UNATNDD
10022.5*A,7MI,,MI,1,IREG
10023.31*A,3L7,,MI,2,MAY-OCT/ALL/IREG
10023.9*A,9G2,,MI,2,IREG
10024.51*A,MI35,,MI,1,UNATNDD
10026.01*H,2MI2,,MI,1,ALL/ALL/ALL
10029.5*H,6MI9,,MI,1,UNATNDD
10033.*A,24C,,MI,1,ALL/ALL/0900-1700
10034.5*A,95MI,,MI,1,UNATNDD
10034.*A,LDM,KLDM,MI,6,OCT 16-APR 15/SAT-SUN/UNATNDD
10034.*A,LDM,KLDM,MI,5,OCT 16-APR 15/MON-FRI/0900-1700
10034.*A,LDM,KLDM,MI,4,APR 16-OCT 15/ALL/0900-1700
10035.*A,5Y4,,MI,2,UNATNDD
10037.*A,MCD,KMCD,MI,4,ALL/ALL/0800-1700
10040.*A,MI70,,MI,1,IREG
10045.*A,D90,,MI,1,UNATNDD
10046.01*A,75G,,MI,2,ALL/ALL/IREG
10049.01*H,0MI5,,MI,1,UNATNDD
10049.*A,MBL,KMBL,MI,4,JUN-AUG/ALL/0800-2000
10049.*A,MBL,KMBL,MI,2,NOV-MAR/ALL/0800-1700
10049.*A,MBL,KMBL,MI,5,APR & OCT/ALL/0800-1800
10049.*A,MBL,KMBL,MI,6,MAY & SEPT/ALL/0800-1900
10052.*A,ISQ,KISQ,MI,3,JUN-OCT/MON-FRI/0800-1600
10052.*A,ISQ,KISQ,MI,4,NOV-MAY/MON-FRI/0800-1400
10052.*A,ISQ,KISQ,MI,5,ALL/SAT-SUN/UNATNDD
10056.11*A,67MI,,MI,1,UNATNDD
10058.1*H,59MI,,MI,1,UNATNDD
10058.2*H,20MI,,MI,1,UNATNDD
10058.*A,76G,,MI,1,ALL/SAT-SUN/ON CALL
10058.*A,76G,,MI,2,ALL/MON-FRI/0800-1700
10062.11*A,77G,,MI,2,UNATNDD
10064.01*A,1MI9,,MI,1,UNATNDD
10064.02*A,SAW,KSAW,MI,2,ALL/ALL/0500-2000
10064.13*H,76MI,,MI,1,UNATNDD
10067.*A,RMY,KRMY,MI,1,ALL/ALL/0800-DUSK
10073.11*A,29MI,,MI,1,INTMT
10073.4*H,MI73,,MI,1,IREG
10073.*A,TEW,KTEW,MI,2,UNATNDD
10075.01*A,8MI3,,MI,1,IREG
10075.5*A,60MI,,MI,1,IREG
10076.*A,MI71,,MI,1,UNATNDD
10078.02*A,2MI9,,MI,1,UNATNDD
10078.03*A,0C5,,MI,1,UNATNDD
10078.*A,27C,,MI,1,UNATNDD
10083.*A,MNM,KMNM,MI,1,ALL/MON-FRI/0800-1700
10090.*H,91MI,,MI,1,UNATNDD
10092.*A,IKW,KIKW,MI,2,ALL/MON-FRI/0900-1700
10092.*A,IKW,KIKW,MI,3,ALL/SAT-SUN/0800-1600
10094.02*A,1MI6,,MI,1,UNATNDD
10095.01*A,6MI1,,MI,1,IREG
10095.02*H,5MI4,,MI,1,UNATNDD
10095.*A,9MI5,,MI,1,IREG
10100.*A,51M,,MI,2,UNATNDD
10104.01*H,MI54,,MI,1,UNATNDD
10104.02*H,58MI,,MI,1,UNATNDD
10104.*A,TTF,KTTF,MI,1,ALL/ALL/0800-1700
10109.1*A,6Y0,,MI,1,APR-NOV/ALL/DAWN-DUSK
10115.*A,MTC,KMTC,MI,1,ALL/ALL/1230-0400Z++
10121.01*A,MI44,,MI,1,UNATNDD
10121.*A,MOP,KMOP,MI,1,ALL/MON-FRI/0800-1630
10123.*A,44MI,,MI,1,IREG
10124.*A,5Y7,,MI,2,UNATNDD
10127.03*H,MI42,,MI,1,IREG
10127.04*H,36MI,,MI,1,ALL/ALL/ALL
10127.*A,MKG,KMKG,MI,1,NOV-MAR/MON-FRI/0600-2200
10127.*A,MKG,KMKG,MI,3,APR-OCT/MON-FRI/0500-2100
10127.*A,MKG,KMKG,MI,4,APR-OCT/SAT-SUN/0500-2000
10127.*A,MKG,KMKG,MI,2,NOV-MAR/SAT-SUN/0600-2100
10139.02*A,26W,,MI,1,IREG
10139.1*A,6H4,,MI,1,ALL/ALL/ALL
10139.*A,3NP,,MI,1,UNATNDD
10144.5*A,MI69,,MI,1,UNATNDD
10150.*H,61MI,,MI,1,UNATNDD
10154.01*A,6Y5,,MI,1,UNATNDD
10154.*A,ERY,KERY,MI,2,ALL/MON-FRI/0800-1600
10157.*A,Y47,,MI,1,ALL/MON-FRI/0830-1700
10157.*A,Y47,,MI,2,ALL/SAT-SUN/ON CALL
10159.01*A,MI53,,MI,1,ALL/ALL/IREG
10159.02*A,9MI2,,MI,1,ALL/ALL/ALL
10159.03*A,99MI,,MI,1,UNATNDD
10160.*A,3TR,,MI,1,UNATNDD
10165.71*A,MI86,,MI,1,UNATNDD
10166.01*A,3MI2,,MI,1,UNATNDD
10166.02*A,6Y3,,MI,1,UNATNDD
10166.51*H,6MI4,,MI,1,ALL/ALL/DALGT
10166.52*H,7MI0,,MI,1,UNATNDD
10166.53*H,9MI7,,MI,1,UNATNDD
10166.54*H,63MI,,MI,1,UNATNDD
10166.55*H,3MI3,,MI,1,UNATNDD
10166.*A,5D5,,MI,1,UNATNDD
10167.01*A,5N7,,MI,1,IREG
10167.02*A,2MI0,,MI,1,UNATNDD
10171.01*H,52MI,,MI,1,UNATNDD
10172.*A,7MI6,,MI,1,UNATNDD
10180.01*H,11J,,MI,1,UNATNDD
10180.*A,1MI3,,MI,1,UNATNDD
10185.*A,OGM,KOGM,MI,2,UNATNDD
10186.52*H,21MI,,MI,1,UNATNDD
10186.5*H,7MI1,,MI,1,IREG
10189.01*A,3MI7,,MI,1,ALL/ALL/DALGT
10193.*A,OSC,KOSC,MI,2,ALL/MON-FRI/0800-1700
10193.*A,OSC,KOSC,MI,3,ALL/SAT-SUN/ON CALL
10202.21*H,5MI3,,MI,1,UNATNDD
10202.*A,RNP,KRNP,MI,1,ALL/MON-FRI/0900-1700
10202.*A,RNP,KRNP,MI,2,ALL/SAT-SUN/PRIOR ARNGMT
10204.3*A,2H4,,MI,1,UNATNDD
10204.9*A,MI26,,MI,1,UNATNDD
10206.1*A,2C5,,MI,1,UNATNDD
10218.*A,PLN,KPLN,MI,1,ALL/ALL/0600-2300
10219.02*A,MI48,,MI,1,UNATNDD
10219.11*A,4MI1,,MI,1,ALL/ALL/ALL
10222.4*A,52I,,MI,1,IREG
10226.*A,61D,,MI,1,ALL/ALL/IREG
10228.11*H,MI79,,MI,1,ALL/MON-FRI/1800-0000
10228.*A,1D2,,MI,2,ALL/SAT-SUN/ON CALL
10228.*A,1D2,,MI,1,ALL/MON-FRI/0700-1600
10231.*C,51MI,,MI,1,UNATNDD
10232.19*H,83MI,,MI,1,ALL/ALL/ALL
10232.*A,PTK,KPTK,MI,1,ALL/ALL/ALL
10233.*A,29C,,MI,1,UNATNDD
10235.12*H,73MI,,MI,1,UNATNDD
10235.13*H,PR60,,MI,1,12/7/24
10235.1*A,PHN,KPHN,MI,1,ALL/ALL/0800-DUSK
10236.003*A,49MI,,MI,1,UNATNDD
10236.*A,M86,,MI,2,UNATNDD
10250.*C,3MI9,,MI,1,UNATNDD
10255.*A,57D,,MI,1,ALL/ALL/1000-1600
10257.1*A,RCT,KRCT,MI,1,UNATNDD
10257.2*H,33MI,,MI,1,UNATNDD
10267.*A,MI99,,MI,1,UNATNDD
10270.*A,75MI,,MI,1,UNATNDD
10273.3*H,5MI9,,MI,1,UNATNDD
10274.1*A,6Y4,,MI,1,UNATNDD
10277.1*A,35C,,MI,1,MAY-NOV/ALL/DALGT
10280.*A,PZQ,KPZQ,MI,1,UNATNDD
10282.22*H,MI57,,MI,1,UNATNDD
10283.*A,D98,,MI,2,ALL/MON-FRI/0800-1600
10287.*A,3RC,,MI,1,UNATNDD
10288.5*H,32MI,,MI,1,ALL/ALL/ALL
10289.3*H,4MI5,,MI,1,UNATNDD
10298.01*H,10MI,,MI,1,ALL/ALL/ALL
10298.*A,HYX,KHYX,MI,2,ALL/SAT-SUN/0800-1200
10298.*A,HYX,KHYX,MI,1,ALL/MON-FRI/0730-1700
10299.*A,MBS,KMBS,MI,1,ALL/ALL/ALL
10305.1*A,MI41,,MI,1,UNATNDD
10305.*A,5Y5,,MI,1,IREG
10310.*A,6Y6,,MI,1,UNATNDD
10313.*A,83D,,MI,1,ALL/ALL/DAWN-DUSK
10318.121*A,39T,,MI,1,IREG
10318.12*A,97G,,MI,1,IREG
10318.19*H,69MI,,MI,1,UNATNDD
10318.1*A,MI28,,MI,1,MAY-NOV/IREG/IREG
10318.20*A,M99,,MI,1,UNATNDD
10318.*A,3S5,,MI,1,IREG
10321.*A,68MI,,MI,1,IREG
10323.01*A,96G,,MI,1,IREG
10323.1*A,Y83,,MI,2,ALL/SAT-SUN/ON CALL
10323.1*A,Y83,,MI,1,ALL/MON-FRI/0900-1630
10328.*A,ANJ,KANJ,MI,1,ALL/ALL/0800-1700
10329.*A,CIU,KCIU,MI,1,ALL/ALL/0600-1800
10330.*A,7MI2,,MI,1,UNATNDD
10332.2*A,P97,,MI,1,IREG
10335.*A,98G,,MI,1,IREG
10336.*A,MI13,,MI,1,UNATNDD
10337.855*C,22C,,MI,1,UNATNDD
10337.*A,6Y9,,MI,1,UNATNDD
10342.51*H,5MI6,,MI,1,ALL/ALL/0600-2400
10343.52*H,MI46,,MI,1,IREG
10343.*A,LWA,KLWA,MI,2,ALL/ALL/0900-1700
10345.1*A,78MI,,MI,1,APR-OCT/ALL/0800-DUSK
10349.4*A,34MI,,MI,1,UNATNDD
10349.*A,8D4,,MI,1,ALL/MON-FRI/0900-1300
10349.*A,8D4,,MI,2,ALL/SAT-SUN/IREG
10357.5*A,38C,,MI,1,IREG
10358.*A,8MI7,,MI,1,SUMMER/IREG/IREG
10361.*A,IRS,KIRS,MI,1,ALL/MON-FRI/0800-1700
10362.1*A,C43,,MI,2,IREG
10365.*H,05MI,,MI,1,UNATNDD
10367.01*A,34G,,MI,1,ALL/ALL/0900-1700
10367.02*H,2T7,,MI,2,IREG
10367.22*A,22T,,MI,1,UNATNDD
10367.*A,3TE,,MI,1,IREG
10370.*A,7Y2,,MI,1,UNATNDD
10375.*A,4MI6,,MI,1,IREG
10377.*A,HAI,KHAI,MI,1,ALL/ALL/0800-1700
10378.5*A,Y30,,MI,1,UNATNDD
10379.02*H,22MI,,MI,1,ALL/ALL/ALL
10379.03*A,4M0,,MI,1,UNATNDD
10379.*A,TVC,KTVC,MI,1,ALL/ALL/0400-0100
10382.2*A,VLL,KVLL,MI,4,ALL/ALL/0800-1800
10391.82*H,MI90,,MI,1,ALL/ALL/ALL
10392.41*H,MI91,,MI,1,UNATNDD
10392.42*H,8MI8,,MI,1,UNATNDD
10393.01*H,9MI8,,MI,1,UNATNDD
10393.*H,64MI,,MI,1,ALL/MON-FRI/0700-1700
10402.21*A,7MI8,,MI,1,UNATNDD
10402.2*A,27MI,,MI,1,ALL/ALL/0800-1800
10403.3*A,35MI,,MI,1,ALL/ALL/ALL
10405.1*A,7MI3,,MI,1,IREG
10428.*A,72MI,,MI,1,ALL/ALL/IREG
10430.01*H,MI87,,MI,1,UNATNDD
10430.*A,40C,,MI,1,UNATNDD
10433.*A,41C,,MI,1,UNATNDD
10434.*H,MI33,,MI,1,UNATNDD
10435.*A,46MI,,MI,1,UNATNDD
10437.01*A,D11,,MI,1,APR-NOV/IREG/
10438.11*H,89MI,,MI,1,UNATNDD
10438.12*H,0MI0,,MI,1,UNATNDD
10438.1*A,Y31,,MI,1,ALL/MON-FRI/0800-1700
10438.1*A,Y31,,MI,2,ALL/SAT-SUN/ON CALL
10438.8*A,3F5,,MI,1,UNATNDD
10438.*H,MI59,,MI,1,UNATNDD
10442.*A,42C,,MI,1,IREG
10443.05*C,41D,,MI,1,UNATNDD
10444.1*A,MI29,,MI,1,UNATNDD
10447.8*A,89Y,,MI,1,UNATNDD
10448.31*A,86MI,,MI,1,IREG
10448.65*A,53W,,MI,1,ALL/ALL/IREG
10454.*H,MI61,,MI,1,IREG
10459.01*A,48G,,MI,1,IREG
10459.12*A,4Y8,,MI,1,UNATNDD
10459.*A,D20,,MI,1,IREG
10465.01*H,9MI0,,MI,1,ALL/ALL/ALL
10475.05*A,85MI,,MI,1,UNATNDD
10475.1*A,6MI7,,MI,1,UNATNDD
10475.2*A,Z98,,MI,1,ALL/ALL/0800-1700
10475.*A,6MI3,,MI,1,UNATNDD
10504.11*A,D00,,MN,1,UNATNDD
10504.12*H,7MN7,,MN,1,UNATNDD
10504.1*A,MN01,,MN,1,UNATNDD
10504.6*A,MY35,,MN,1,UNATNDD
10505.01*H,14MN,,MN,1,UNATNDD
10505.*A,AIT,KAIT,MN,1,APR-OCT/ALL/0800-1700
10505.*A,AIT,KAIT,MN,2,NOV-MAR/MON-FRI/0900-1700
10507.7*A,1MN2,,MN,1,UNATNDD
10509.01*H,30MN,,MN,1,ALL/ALL/ALL
10509.*A,AEL,KAEL,MN,1,APR-OCT/MON-FRI/0800-2000
10509.*A,AEL,KAEL,MN,2,NOV-MAR/MON-FRI/0800-1700
10509.*A,AEL,KAEL,MN,3,ALL/SAT-SUN/0800-1700
10512.01*H,MY91,,MN,1,UNATNDD
10512.*A,AXN,KAXN,MN,1,JUN-AUG/MON-FRI/0800-2000
10512.*A,AXN,KAXN,MN,2,SEP-MAY/MON-FRI/0800-1800
10512.*A,AXN,KAXN,MN,3,ALL/SAT-SUN/0900-1700
10513.01*A,2MY2,,MN,2,UNATNDD
10514.3*A,MN06,,MN,1,ALL/ALL/0500-2100
10514.9*C,3MN0,,MN,1,UNATNDD
10515.12*H,MN07,,MN,1,ALL/ALL/ALL
10518.*A,AQP,KAQP,MN,1,UNATNDD
10520.5*A,7MN6,,MN,1,UNATNDD
10522.*A,67MN,,MN,1,UNATNDD
10524.01*H,MN34,,MN,1,ALL/ALL/ALL
10524.*A,AUM,KAUM,MN,2,ALL/SAT/0800-1600
10524.*A,AUM,KAUM,MN,3,ALL/SUN/0900-1500
10524.*A,AUM,KAUM,MN,4,ALL/MON-FRI/0800-1700
10525.*A,7Y3,,MN,1,UNATNDD
10527.01*A,5MN2,,MN,1,UNATNDD
10527.*A,7Y4,,MN,1,UNATNDD
10534.51*A,9MN5,,MN,1,UNATNDD
10534.52*A,94MN,,MN,1,UNATNDD
10534.85*A,00MN,,MN,1,UNATNDD
10534.*A,9MN3,,MN,1,UNATNDD
10535.*A,BDE,KBDE,MN,1,APR-OCT/ALL/0800-2000
10535.*A,BDE,KBDE,MN,2,NOV-MAR/ALL/0800-1700
10546.02*C,MN05,,MN,1,UNATNDD
10546.04*A,98MN,,MN,1,UNATNDD
10546.11*C,96M,,MN,1,UNATNDD
10546.1*A,MN13,,MN,2,UNATNDD
10546.22*H,54MN,,MN,1,UNATNDD
10546.2*A,MY54,,MN,1,ALL/ALL/ALL
10546.*A,BJI,KBJI,MN,3,ALL/MON/0700-2100
10546.*A,BJI,KBJI,MN,2,ALL/SAT-SUN/0800-1700
10546.*A,BJI,KBJI,MN,1,ALL/TUE-FRI/0600-2100
10551.1*A,BBB,KBBB,MN,1,UNATNDD
10551.2*A,MN11,,MN,1,UNATNDD
10560.*A,7Y9,,MN,1,UNATNDD
10562.01*H,1MN3,,MN,1,UNATNDD
10562.*A,FOZ,KFOZ,MN,1,UNATNDD
10564.01*H,0MN9,,MN,1,UNATNDD
10564.8*A,40MN,,MN,1,UNATNDD
10569.01*H,MN14,,MN,1,UNATNDD
10569.1*A,2MN4,,MN,1,IRREG
10569.*A,SBU,KSBU,MN,1,ALL/MON-FRI/0800-1700
10573.*A,9Y0,,MN,1,UNATNDD
10575.2*A,MN17,,MN,1,ALL/ALL/ALL
10575.3*A,MN18,,MN,1,UNATNDD
10576.*A,BRD,KBRD,MN,1,JUL-OCT/ALL/0500-2300
10576.*A,BRD,KBRD,MN,2,NOV-JUN/ALL/0500-2300
10584.*A,8MN3,,MN,1,MAR-OCT/ALL/0800-2000
10584.*A,8MN3,,MN,2,NOV-FEB/ALL/IREG
10592.*A,6D1,,MN,1,UNATNDD
10605.*A,CFE,KCFE,MN,1,ALL/ALL/DALGT
10606.03*C,MN09,,MN,1,UNATNDD
10610.*A,CHU,KCHU,MN,1,UNATNDD
10612.25*H,2MY3,,MN,1,UNATNDD
10612.2*A,CBG,KCBG,MN,1,UNATNDD
10612.31*A,02MN,,MN,1,UNATNDD
10612.3*A,9MN1,,MN,1,IREG
10614.8*A,RYM,KRYM,MN,1,ALL/MON-FRI/1300-0500Z
10615.21*H,91MN,,MN,1,UNATNDD
10615.2*A,CNB,KCNB,MN,1,UNATNDD
10616.8*A,MY80,,MN,1,UNATNDD
10617.13*C,MN04,,MN,1,UNATTND
10617.98*C,08MN,,MN,1,UNATNDD
10618.3*A,MN24,,MN,1,ALL/ALL/DAWN-DUSK
10618.53*A,66MN,,MN,1,UNATNDD
10618.6*A,8Y5,,MN,1,UNATNDD
10621.01*A,2MY4,,MN,1,UNATNDD
10621.*A,8Y6,,MN,1,ALL/ALL/0800-DUSK
10623.01*A,MY94,,MN,1,UNATNDD
10623.*A,COQ,KCOQ,MN,1,ALL/MON-SAT/0800-1700
10625.*A,MY52,,MN,1,UNATNDD
10635.11*H,1MN6,,MN,1,ALL/ALL/ALL
10635.12*C,01MN,,MN,1,JUN-OCT/ALL/DAWN-DUSK
10635.*A,CQM,KCQM,MN,1,ALL/ALL/0900-1300
10636.75*A,MN28,,MN,1,UNATNDD
10636.7*A,42MN,,MN,1,UNATNDD
10637.3*C,CDD,KCDD,MN,1,MAY-SEP/ALL/0700-1900
10642.4*H,1MN7,,MN,1,ALL/ALL/ALL
10642.*A,CKN,KCKN,MN,1,ALL/MON-FRI/0800-1700
10643.8*A,MY95,,MN,1,UNATNDD
10646.957*C,06MN,,MN,1,UNATNDD
10648.012*C,M69,,MN,1,UNATNDD
10648.013*C,25MN,,MN,1,APR-OCT/ALL/SR-SS
10648.013*C,25MN,,MN,2,NOV-MAR/ALL/UNATNDD
10648.3*A,MN19,,MN,1,UNATNDD
10650.01*H,MY27,,MN,1,UNATNDD
10650.4*A,7MY9,,MN,1,UNATNDD
10650.*A,DTL,KDTL,MN,1,ALL/MON-FRI/0800-1700
10651.*A,TOB,KTOB,MN,1,ALL/MON-FRI/0700-1800
10653.02*H,MN33,,MN,1,ALL/ALL/ALL
10653.03*H,MN48,,MN,1,ALL/ALL/ALL
10653.3*C,MN35,,MN,1,MAY-OCT/ALL/0800-2000
10653.*A,DLH,KDLH,MN,1,ALL/ALL/ALL
10655.*A,DYT,KDYT,MN,2,ALL/ALL/0800-1700
10657.8*A,MN08,,MN,1,UNATNDD
10658.21*A,2MN0,,MN,1,UNATNDD
10658.3*A,MN81,,MN,1,UNATNDD
10658.84*C,M16,,MN,1,UNATNDD
10658.95*A,9Y2,,MN,1,UNATNDD
10661.7*H,MN27,,MN,1,ALL/ALL/ALL
10665.*A,Y63,,MN,1,ALL/MON-FRI/0700-1800
10666.24*A,MN15,,MN,1,UNATTND
10666.71*A,MN40,,MN,1,ALL/ALL/ALL
10668.01*A,ELO,KELO,MN,1,ALL/ALL/0800-1700
10668.02*H,0MN7,,MN,1,UNATNDD
10668.05*C,73MN,,MN,1,MAY-OCT/ALL/DAWN-DUSK
10669.*A,75MN,,MN,1,UNATNDD
10672.01*A,76MN,,MN,1,ALL/ALL/ALL
10672.1*A,MN42,,MN,1,UNATNDD
10675.21*A,MY59,,MN,1,UNATNDD
10677.*A,EVM,KEVM,MN,5,ALL/MON-FRI/0800-1900
10677.*A,EVM,KEVM,MN,6,ALL/SAT/0800-1800
10677.*A,EVM,KEVM,MN,7,ALL/SUN/0900-1700
10678.13*C,MN29,,MN,1,UNATNDD
10678.*C,9Y5,,MN,4,ALL/SAT/0800-1800
10678.*C,9Y5,,MN,5,ALL/SUN/0900-1700
10678.*C,9Y5,,MN,3,ALL/MON-FRI/0800-1900
10679.11*C,MN02,,MN,1,UNATNDD
10682.5*A,MY37,,MN,1,ON CALL
10684.*A,FRM,KFRM,MN,1,ALL/MON-FRI/0800-1700
10689.01*C,MY96,,MN,1,UNATNDD
10689.1*H,MN59,,MN,1,UNATNDD
10689.*A,FBL,KFBL,MN,3,OCT-APR/SAT/1000-1500
10689.*A,FBL,KFBL,MN,4,OCT-APR/SUN/UNATNDD
10689.*A,FBL,KFBL,MN,2,OCT-APR/MON-FRI/0800-1800
10689.*A,FBL,KFBL,MN,1,MAY-SEP/ALL/0800-1800
10690.13*A,MY97,,MN,1,UNATNDD
10690.1*A,MN45,,MN,1,UNATNDD
10690.*A,69MY,,MN,1,ALL/ALL/0600-2400
10692.*A,FFM,KFFM,MN,1,ALL/MON-FRI/0800-1700
10692.*A,FFM,KFFM,MN,2,ALL/SAT/0900-1400
10693.*A,D14,,MN,1,UNATNDD
10695.13*C,71MN,,MN,1,ALL/ALL/ALL
10695.15*A,25D,,MN,2,UNATNDD
10696.*A,FSE,KFSE,MN,1,UNATNDD
10697.65*C,6MN5,,MN,1,UNATNDD
10697.92*A,MY50,,MN,1,UNATNDD
10703.3*A,MN44,,MN,1,ALL/ALL/DALGT
10704.512*A,77MN,,MN,1,UNATNDD
10704.51*A,79MN,,MN,1,UNATNDD
10704.5*A,MN50,,MN,1,UNATNDD
10704.*A,7MN4,,MN,1,ALL/ALL/0900-1800
10706.7*A,GYL,KGYL,MN,1,UNATNDD
10707.*A,GHW,KGHW,MN,1,ALL/MON-FRI/0800-1530
10708.2*A,2MN1,,MN,1,UNATNDD
10709.651*A,6MN7,,MN,1,UNATNDD
10710.21*A,4MN5,,MN,1,UNATNDD
10713.41*C,0G5,,MN,2,UNATNDD
10713.4*A,CKC,KCKC,MN,1,ALL/MON-SAT/0800-1700
10713.4*A,CKC,KCKC,MN,2,ALL/SUN/0900-1700
10716.01*C,9MN2,,MN,1,UNATNDD
10716.02*C,5MN6,,MN,1,UNATNDD
10716.*A,GPZ,KGPZ,MN,2,NOV-MAR/ALL/0700-2000
10716.*A,GPZ,KGPZ,MN,1,APR-OCT/ALL/0700-2100
10722.*A,GDB,KGDB,MN,1,UNATNDD
10728.*A,3G2,,MN,1,UNATNDD
10729.19*C,3MN5,,MN,1,UNATNDD
10729.*A,MN00,,MN,1,ALL/ALL/ALL
10733.1*A,HCO,KHCO,MN,1,ALL/MON-FRI/0800-1700
10733.2*A,26MN,,MN,1,UNATNDD
10733.31*H,4MN3,,MN,1,ALL/ALL/ALL
10733.3*A,MN87,,MN,1,UNATNDD
10733.611*A,49MN,,MN,1,UNATNDD
10733.61*A,MN58,,MN,1,IREG
10734.81*A,MY99,,MN,1,UNATNDD
10734.8*A,04Y,,MN,1,UNATNDD
10736.02*A,05Y,,MN,1,UNATNDD
10736.3*A,06Y,,MN,1,UNATNDD
10736.*A,1D6,,MN,1,UNATNDD
10737.02*A,MN52,,MN,1,UNATNDD
10737.05*C,9MN0,,MN,1,UNATNDD
10737.1*A,MY56,,MN,1,ALL/ALL/ALL
10737.2*H,5MN3,,MN,1,ALL/ALL/ALL
10737.*A,HIB,KHIB,MN,1,ALL/ALL/0600-2200
10738.5*A,07Y,,MN,1,UNATNDD
10739.01*A,04W,,MN,1,ALL/MON-FRI/0800-1700
10739.02*A,MN57,,MN,1,UNATNDD
10739.04*A,33MN,,MN,2,UNATNDD
10740.5*A,MY57,,MN,1,UNATNDD
10746.2*A,HCD,KHCD,MN,1,ALL/MON-FRI/0800-1700
10748.*A,MN62,,MN,1,UNATNDD
10749.02*H,MN83,,MN,1,ALL/ALL/ALL
10749.03*C,09I,,MN,1,UNATNDD
10749.51*C,09Y,,MN,1,ALL/ALL/ALL
10749.5*A,35MN,,MN,1,UNATNDD
10749.*A,INL,KINL,MN,1,ALL/ALL/DALGT
10751.4*A,MY72,,MN,1,UNATNDD
10751.8*A,4MN4,,MN,1,UNATNDD
10753.01*H,1MN9,,MN,1,ALL/ALL/ALL
10753.*A,MJQ,KMJQ,MN,1,ALL/MON-FRI/0800-1700
10754.11*C,0MN3,,MN,1,MAY-SEP/ALL/SR-SS
10754.1*U,MY62,,MN,1,ALL/ALL/0800-2000
10755.01*A,9MN6,,MN,1,UNATNDD
10755.*A,MN63,,MN,1,UNATNDD
10758.41*A,2MN2,,MN,1,UNATNDD
10763.*A,23D,,MN,1,UNATNDD
10765.*A,04MN,,MN,1,UNATNDD
10767.*A,52MN,,MN,1,UNATNDD
10775.4*H,82MN,,MN,1,ALL/ALL/ALL
10775.51*A,03MN,,MN,1,UNATNDD
10775.8*A,MY29,,MN,1,UNATNDD
10775.*A,27MN,,MN,1,UNATNDD
10778.*A,MN12,,MN,1,ALL/ALL/DALGT
10779.03*C,21MN,,MN,1,IREG
10780.01*H,MY26,,MN,1,UNATNDD
10780.*A,12Y,,MN,1,ALL/MON-FRI/0800-1700
10783.2*A,5MN5,,MN,1,ALL/MON-FRI/1800-0700
10783.2*A,5MN5,,MN,2,ALL/SAT-SUN/ALL
10784.1*A,MY18,,MN,1,UNATNDD
10784.2*C,8Y4,,MN,1,MAY-OCT/ALL/DAWN-DUSK
10784.2*C,8Y4,,MN,2,NOV-APR/UNATNDD/
10786.01*A,LJF,KLJF,MN,1,UNATNDD
10786.02*H,MN65,,MN,1,ALL/ALL/ALL
10786.1*A,MN31,,MN,1,MAY-NOV/ALL/ALL
10793.01*H,89MN,,MN,1,UNATNDD
10793.*A,LXL,KLXL,MN,1,ALL/MON-FRI/0800-1700
10796.*A,13Y,,MN,1,UNATNDD
10797.31*H,8MN9,,MN,1,UNATNDD
10797.3*A,14Y,,MN,2,UNATNDD
10798.1*A,XVG,KXVG,MN,1,UNATNDD
10798.6*A,MN66,,MN,1,UNATNDD
10802.19*H,MN90,,MN,1,ALL/ALL/ALL
10802.2*A,LYV,KLYV,MN,3,ALL/MON-FRI/0800-1700
10802.61*A,MN67,,MN,1,UNATNDD
10806.*A,DXX,KDXX,MN,1,UNATNDD
10807.51*H,MN25,,MN,1,ALL/ALL/ALL
10807.5*A,3N8,,MN,1,UNATNDD
10812.023*H,3MN6,,MN,1,ALL/ALL/ALL
10812.024*A,93MN,,MN,1,UNATNDD
10812.1*A,MKT,KMKT,MN,3,ALL/SAT-SUN/0800-1900
10812.1*A,MKT,KMKT,MN,2,ALL/MON-FRI/0700-2000
10812.71*A,MGG,KMGG,MN,1,UNATNDD
10812.85*A,MN69,,MN,1,UNATNDD
10815.*A,MML,KMML,MN,3,ALL/MON-THU/0800-1700
10818.512*C,MN75,,MN,1,UNATNDD
10818.5*A,HZX,KHZX,MN,1,UNATNDD
10818.75*A,6MN8,,MN,1,IREG
10819.022*A,5MN9,,MN,1,UNATNDD
10820.*A,18Y,,MN,1,UNATNDD
10821.01*H,MY65,,MN,1,ALL/ALL/ALL
10821.02*A,LVN,KLVN,MN,2,ALL/SAT-SUN/0800-1700
10821.02*A,LVN,KLVN,MN,1,ALL/MON-FRI/0800-1800
10821.03*H,MN10,,MN,1,ALL/ALL/ALL
10821.05*H,9MN4,,MN,1,UNATNDD
10821.06*H,25MY,,MN,1,ALL/ALL/ALL
10821.*A,MIC,KMIC,MN,3,ALL/ALL/0700-2100
10824.*A,MSP,KMSP,MN,1,ALL/ALL/ALL
10827.2*A,ANE,KANE,MN,1,ALL/ALL/ALL
10827.8*A,MN74,,MN,1,UNATNDD
